Date,Masse monétaire (M3),Crédit bancaire,Secteur privé,Sociétés non financières privées,"Comptes débiteurs et crédits de trésorerie (déflaté, réel)","Primes versées (MDH) (déflaté, réel)"
2019-01-01,1294262.8830525272,845170.8096134786,661514.8077304261,337610.36987115955,171296.491,0.0
2019-02-01,1297372.433102081,851285.1199207135,667305.8450941526,342381.85272547073,174142.1901,
2019-03-01,1302815.0208126856,864415.1265609514,670903.8067393458,343640.5737363726,178396.1606,
2019-04-01,1291498.5408866997,850893.552906404,668496.4063054188,341710.8030541872,173569.1608,10201.2808
2019-05-01,1285858.685546875,849284.797265625,670275.2511718749,342850.7569335937,172204.0009,
2019-06-01,1300764.9074074074,877590.549122807,680908.0019493178,354194.52222222224,181770.8855,
2019-07-01,1317542.104228122,879103.095771878,687414.7995083578,356822.24611602747,183701.5173,9398.9184
2019-08-01,1321557.2233104801,873821.4323212538,684751.5982370225,355463.9495592557,180771.38,
2019-09-01,1317467.7615309125,881650.0471050049,689568.9263002943,357673.96889106964,185147.5881,
2019-10-01,1316375.2340842313,879909.5936336926,690356.4857002939,356708.7264446621,182226.3851,10267.6787
2019-11-01,1311563.9356097563,870298.7808780489,688862.9694634147,356475.56468292687,181073.3386,
2019-12-01,1337090.9804878049,894782.8921951221,694540.9420487805,362907.63912195124,185116.7338,
2020-01-01,1320185.8269794723,876503.1122189639,687941.6652981428,353620.2460410557,179611.3707,14144.9658
2020-02-01,1322970.2282076397,876727.5417238002,693514.6761018609,357574.6766895201,180775.0853,
2020-03-01,1347921.6790243902,897022.1176585366,705372.8424390245,370186.8865365854,189652.1653,
2020-04-01,1357977.939453125,901475.0437500001,711086.7317382813,376522.7686523438,196600.7519,10320.8008
2020-05-01,1379265.3219178081,907380.2268101762,715622.8788649705,381574.19442270056,200219.4055,
2020-06-01,1408314.9852796858,934497.1477919528,720055.6278704612,383144.63660451415,202796.1342,
2020-07-01,1419017.3651574801,932188.608956693,727964.7335629921,388745.67076771654,207252.5468,9918.9961
2020-08-01,1389516.3262135922,909653.4278640776,716968.3450485438,381427.3436893204,201429.8825,
2020-09-01,1398725.462729913,916109.3865440466,715501.9333978703,378486.6836398839,202841.3981,
2020-10-01,1394687.5174081237,908577.1832688588,714104.334622824,376240.4819148936,201117.7316,10524.3714
2020-11-01,1410257.8646543329,916736.5370983445,717908.7365141187,376726.3429406036,198333.2972,
2020-12-01,1453148.8581213306,939388.3857142857,724410.8105675147,379918.8232876712,199996.0461,
2021-01-01,1443261.0684261976,914169.6879765397,724384.0381231672,379127.27526881726,202696.2321,14387.1945
2021-02-01,1440231.4003906248,911876.4890625,725724.7996093751,378592.49375,203165.9501,
2021-03-01,1448801.0497076025,926523.8573099414,729115.6842105263,380309.8471734893,203994.9694,
2021-04-01,1439494.994219653,915435.3,724385.0486512524,378203.22919075144,204619.7348,12959.1522
2021-05-01,1446341.7281460136,913585.9028818444,727334.1385206532,380271.4822286264,204323.3319,
2021-06-01,1491013.9787234042,956378.530270793,740183.3464216634,388757.15348162473,217599.7565,
2021-07-01,1484522.3969171483,928879.6625240848,736666.630539499,385782.1439306358,216960.6576,10738.343
2021-08-01,1482293.0317919073,930799.9902697494,733761.5908477842,382629.85375722544,213000.094,
2021-09-01,1484548.2746411483,942250.3214354067,733370.0801913877,383651.7006698565,216181.9919,
2021-10-01,1469158.817490494,919489.1325095057,728386.8212927756,379684.0923003802,214420.1519,10436.2167
2021-11-01,1472116.2286527513,917395.8187855787,725784.9731499051,376972.7202087286,210761.5164,
2021-12-01,1479402.0739336493,933553.6710900475,727041.0448341232,379306.80862559244,207832.5048,
2022-01-01,1472269.1696682465,914627.714407583,726426.6388625593,376473.1183886256,206322.1415,14502.654
