equation,type,predicteur,retard,coefficient
Pêche,A_l,"Électricité, gaz, eau",2,0.019201201043984338
Pêche,A_l,Services aux entreprises,2,0.04220189925892884
Pêche,A_l,Administration publique,2,0.08238843908235864
Pêche,A_l,Éducation-santé,2,-0.057562383167982636
Pêche,A_l,Autres services,2,-0.10798542390799945
Pêche,A_l,Industrie de transformation,3,0.0028897811186558674
Pêche,A_l,Finances et assurances,3,0.02886069524940198
Pêche,A_l,Hébergement-restauration,3,0.001752363260929899
Pêche,A_l,Pêche,3,-0.004636164364605543
Pêche,A_l,Industrie d'extraction,3,-0.008941380469860389
Pêche,A_l,Construction,3,-0.03146930259848069
Pêche,A_l,Information-communication,3,-0.004715948486170211
Pêche,A_l,Immobilier,3,0.058671805098253794
Pêche,A_l,Agriculture,3,-0.006851764398800459
Pêche,A_l,Commerce,3,-0.0026146992226922607
Pêche,A_l,Transports,3,-0.005887861745844941
Pêche,A_l,"Électricité, gaz, eau",3,-0.02652872152876259
Pêche,A_l,Services aux entreprises,3,0.00492399514757679
Pêche,A_l,Administration publique,3,0.0012362832978470993
Pêche,A_l,Éducation-santé,3,0.00873933649460765
Pêche,A_l,Autres services,3,0.03456228559636338
Pêche,A_l,Industrie de transformation,4,-0.006297361130694559
Pêche,A_l,Finances et assurances,4,0.022363410538536882
Pêche,A_l,Hébergement-restauration,4,-0.0035675351143810525
Pêche,A_l,Pêche,4,0.0011550248555567569
Pêche,A_l,Industrie d'extraction,4,0.004226939519328639
Pêche,A_l,Construction,4,0.0006895556534166347
Pêche,A_l,Information-communication,4,0.008668977548125652
Pêche,A_l,Immobilier,4,-0.02368313187584611
Pêche,A_l,Agriculture,4,-0.0033203880332236713
Pêche,A_l,Commerce,4,-0.020728231877492783
Pêche,A_l,Transports,4,-0.007311116921646471
Pêche,A_l,"Électricité, gaz, eau",4,0.008952078966131826
Pêche,A_l,Services aux entreprises,4,-0.010248096975883058
Pêche,A_l,Administration publique,4,-0.01988055023892743
Pêche,A_l,Éducation-santé,4,0.009008171327667219
Pêche,A_l,Autres services,4,-0.02394234634707816
Pêche,A_l,Industrie de transformation,5,0.0031667205689613447
Pêche,A_l,Finances et assurances,5,-0.015573087380931726
Pêche,A_l,Hébergement-restauration,5,0.0006598865368345689
Pêche,A_l,Pêche,5,-0.0002858377034813216
Pêche,A_l,Industrie d'extraction,5,-0.00012355704112006877
Pêche,A_l,Construction,5,-0.007048712018182452
Pêche,A_l,Information-communication,5,-0.008404771366956023
Pêche,A_l,Immobilier,5,-0.004769629746326604
Pêche,A_l,Agriculture,5,-0.0010348407105337286
Pêche,A_l,Commerce,5,0.0004666168760076255
Pêche,A_l,Transports,5,0.004112933846457382
Pêche,A_l,"Électricité, gaz, eau",5,0.002568488086447683
Pêche,A_l,Services aux entreprises,5,0.004190762404700997
Pêche,A_l,Administration publique,5,-0.007987517010250269
Pêche,A_l,Éducation-santé,5,-0.030609420228975982
Pêche,A_l,Autres services,5,-0.007757435511161063
Industrie d'extraction,constante,,0,0.006636054384644605
Industrie d'extraction,A_l,Industrie de transformation,1,-0.025947576799739767
Industrie d'extraction,A_l,Finances et assurances,1,-0.09460365731546391
Industrie d'extraction,A_l,Hébergement-restauration,1,-0.014963199851046289
