;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2014;2015
    28 Travail des métaux;742.467;836.155;929.492;1053.185;1016.434;1060.283;1007.178;1046.435;1124.667;1270.638;1228.487;1126.583;1110.995;1221.19;1315.199;1330.115;1406.574;1485.011;1605.491;2271.242;1903.182;2047.971;2095.661;2142.004;2154.937
        281 Fabrication d'éléments en métal pour la construction;137.298;281.781;340.865;340.397;292.963;274.277;239.909;275.788;275.883;411.416;447.992;513.735;487.665;490.532;530.183;570.184;665.724;670.452;748.994;1343.584;886.78;1007.944;1071.626;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;227.451;225.051;197.901;111.276;91.866;110.212;111.497;129.638;117.287;107.445;90.93;84.694;85.954;82.013;101.534;;
        283 Chaudronnerie;165.721;122.637;134.639;182.517;219.629;253.343;283.177;266.013;20.661;22.233;23.431;30.611;15.887;3.208;3.041;2.622;2.026;3.137;3.107;12.935;11.917;11.683;1.345;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;0.028;0.024;0.191;0.193;36.285;48.594;19.728;15.24;11.679;103.212;99.469;104.518;91.715;101.364;122.089;129.638;136.98;132.599;125.651;;
"        285 Traitement des métaux ; mécanique générale";27.808;30.089;22.89;27.398;27.749;31.885;30.188;30.708;161.746;142.329;123.578;145.227;169.717;202.676;204.504;223.704;224.654;150.096;157.138;181.901;187.46;193.925;196.912;;
        286 Fabrication de coutellerie, d'outillage et de quincailler;150.067;132.202;137.973;162.808;118.214;109.263;108.078;122.395;39.993;42.834;51.217;49.165;54.846;49.714;48.453;61.84;60.084;68.813;34.78;37.5;38.165;47.836;50.431;;
        287 Fabrication d'autres ouvrages en métaux;261.573;269.446;293.125;340.065;357.851;391.491;345.635;351.338;362.648;378.181;364.64;261.329;279.335;261.636;318.052;237.609;245.084;383.704;448.453;480.99;555.926;571.971;548.162;;
    29 Fabrication de machines et équipements;273.334;318.49;344.927;366.828;407.954;380.789;380.11;382.744;294.203;304.588;266.316;275.687;370.02;374.254;328.521;343.827;342.129;388.199;441.029;473.365;456.182;462.831;458.311;430.211;394.348
        291 Fabrication d'équipements mécaniques;114.431;139.732;149.454;159.228;147.496;151.506;147.415;158.394;75.449;85.806;71.843;87.172;109.502;103.27;83.337;88.588;83.823;119.932;130.404;141.79;130.823;128.447;129.634;;
        292 Fabrication de machines d'usage général;73.344;70.603;73.392;94.799;108.241;86.107;83.669;89.965;70.413;73.219;87.526;76.722;86.892;95.387;112.235;121.339;129.737;122.075;140.922;156.806;159.868;164.972;181.966;;
        293 Fabrication de machines agricoles;38.003;40.835;41.071;37.158;40.381;40.507;50.148;52.944;31.33;25.487;14.533;22.602;21.551;21.913;20.703;23.38;22.487;23.608;44.929;51.42;46.389;50.839;42.09;;
        294 Fabrication de machines-outils;7.984;6.223;7.543;14.031;9.846;8.121;3.747;3.613;1.931;0.429;0.236;3.1;5.297;4.623;8.593;10.439;10.108;11.871;11.202;11.988;12.538;16.386;12.266;;
        295 Fabrication d'autres machines d'usage spécifique;18.583;34.466;44.264;34.647;38.54;28.469;28.883;20.163;32.495;29.53;13.112;11.863;11.783;12.204;12.199;11.863;13.003;19.22;18.352;18.563;14.41;8.753;6.445;;
