;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
        291 Fabrication d'équipements mécaniques;100.0;120.9;144.3;138.9;143.5;154.4;146.6;109.1;112.3;122.3;133.9;124.9;144.5;134.3;
        292 Fabrication de machines d'usage général;100.0;115.2;114.4;122.1;128.9;130.9;149.5;157.9;159.8;156.7;166.0;189.0;195.8;197.3;
        293 Fabrication de machines agricoles;100.0;73.0;87.5;43.1;39.4;52.6;49.1;45.5;44.9;55.0;54.6;61.5;63.2;68.3;
        295 Fabrication d'autres machines d'usage spécifique;100.0;112.2;148.8;131.2;128.1;167.7;162.9;147.4;143.3;155.2;213.6;181.7;186.3;175.4;
        297 Fabrication d'appareils domestiques;100.0;105.8;125.7;115.1;120.1;135.5;143.4;168.8;187.4;200.1;200.6;178.3;175.2;167.6;
    30 Fabrication de machines de bureau et de matériel informatique;100.0;100.6;17.1;17.1;17.1;17.1;27.8;27.8;27.8;50.5;;;;;
        300 Fabrication de machines de bureau et de matériel informatique;100.0;100.6;17.1;17.1;17.1;17.1;27.8;27.8;27.8;50.5;;;;;
    34 Industrie automobile;100.0;121.0;117.9;124.5;125.5;112.0;112.6;126.7;175.6;216.5;220.5;219.0;239.2;248.0;260.5
        341 Construction de véhicules automobiles;100.0;114.2;113.9;131.9;116.3;111.1;113.1;132.3;199.4;256.1;261.7;252.2;265.4;268.3;
        342 Fabrication de carrosserie et remorques;100.0;220.3;195.3;109.4;244.1;134.1;125.3;118.2;139.2;149.0;148.3;175.5;183.0;186.9;
        343 Fabrication d'équipements automobiles;100.0;94.6;91.9;104.0;97.6;104.0;104.3;109.9;103.0;98.8;99.2;113.3;167.7;202.2;
    35 Fabrication d'autres matériels de transport;100.0;129.8;122.0;152.4;146.1;164.5;137.2;138.3;146.1;149.0;155.5;147.0;144.6;146.9;143.9
        351 Construction navale;100.0;173.1;250.8;300.9;242.9;292.9;213.6;215.2;215.2;214.7;213.1;206.3;202.0;207.5;
        352 Construction de matériel ferroviaire roulant;100.0;180.6;189.8;222.2;347.2;458.3;277.8;277.8;277.8;342.6;546.3;532.4;574.1;606.5;
        354 Fabrication de motocycles et de bicyclettes;100.0;108.7;62.4;84.0;95.6;96.5;97.9;98.9;110.6;112.5;115.4;106.1;102.8;102.5;
    36 Fabrication de meubles, industries diverses;100.0;115.3;100.2;141.1;141.2;153.1;130.4;140.6;152.5;170.1;183.9;187.2;188.5;192.1;193.1
        361 Fabrication de meubles;100.0;123.8;107.0;155.4;157.0;169.1;145.8;161.4;182.8;206.3;223.8;230.3;233.5;239.4;
        362 Bijouterie;100.0;98.7;108.7;115.1;103.5;120.9;117.9;137.3;78.8;63.9;43.4;48.7;44.5;36.2;
        366 Autres industries diverses;100.0;92.3;80.3;101.7;98.2;109.2;86.9;81.1;70.6;73.7;71.2;72.9;69.5;67.2;
31 Fabrication de machines et appareils électriques;100.0;122.0;134.5;134.1;146.2;155.9;161.9;166.2;164.8;173.1;175.9;173.6;172.6;170.8;170.4
        311 Fabrication de moteurs, génératrices et transforma;100.0;100.7;102.0;99.6;107.8;124.2;129.1;136.5;136.6;146.6;159.1;150.8;152.4;153.4;
        312 Fabrication de fils et câbles isoles;100.0;142.4;150.8;147.0;169.6;178.3;193.2;198.8;202.2;203.4;202.4;196.4;195.7;193.1;
        313 Fabrication de matériel de distribution et de commande;100.0;116.6;115.0;146.0;143.5;193.8;146.9;175.7;175.7;202.6;202.8;210.8;212.7;196.5;
        314 Fabrication d'accumulateurs et de piles électriques;100.0;97.0;90.4;94.4;97.8;90.3;93.9;91.3;95.4;93.9;102.3;103.2;93.5;93.9;
        315 Fabrication de lampes et d'appareils d'émission et de transmission;100.0;116.8;162.9;119.7;182.1;232.7;203.3;239.3;204.7;225.9;226.1;225.9;223.4;223.1;
        316 Fabrication d'autres matériels électriques;100.0;107.5;134.7;142.5;131.8;130.8;144.1;135.1;130.2;148.3;153.9;154.6;156.9;157.6;
32 Fabrication d'équipements de radio, télévision et communication;100.0;116.7;69.3;104.7;101.8;117.7;117.5;124.4;214.9;222.7;223.7;224.2;220.6;218.2;216.1
        321 Fabrication de composants électroniques;100.0;116.7;69.3;104.7;101.8;117.7;117.5;124.4;214.9;222.7;223.7;224.2;220.6;218.2;
33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;100.0;120.3;156.8;128.5;177.7;158.9;219.6;225.1;220.7;197.9;208.2;204.8;200.5;188.8;194.4
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;100.0;93.3;83.0;88.3;82.6;61.6;61.6;61.6;61.6;49.2;46.3;46.4;47.1;47.5;
        332 Fabrication d'instruments de mesure et de contrôle;100.0;172.8;223.3;130.9;153.5;142.8;167.0;178.4;169.3;167.4;181.3;186.1;168.4;176.2;
        334 Fabrication de matériel optique et photographique;100.0;58.8;100.5;147.1;264.7;235.3;382.4;382.4;382.4;323.6;335.8;318.6;330.9;284.3;
