;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
        372 Récupération de matières non métalliques recyclable;;;;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;39.0;42.0;54.0;70.0;67.0;50.0;50.0;44.0;44.0;24.0;50.0;70.0;44.0
5 Industrie électrique et électronique;11937.0;11813.0;10764.0;11031.0;10564.0;11065.0;10771.0;11425.0;16306.0;19241.0;22953.0;25090.0;28694.0;31948.0;32012.0;34765.0;38839.0;50357.0;48406.0;47953.0;63781.0;74216.0;60782.0;66521.0
    31 Fabrication de machines et appareils électriques;5966.0;5879.0;5840.0;6626.0;6635.0;6579.0;6271.0;6573.0;10811.0;13274.0;15660.0;18246.0;21814.0;24782.0;24951.0;27942.0;31482.0;43206.0;42217.0;40374.0;57922.0;64881.0;51050.0;57288.0
        311 Fabrication de moteurs, génératrices et transforma;1684.0;1813.0;1181.0;1839.0;1815.0;1756.0;920.0;988.0;895.0;858.0;876.0;932.0;1015.0;1239.0;955.0;918.0;941.0;1008.0;801.0;791.0;1487.0;1376.0;1016.0;1002.0
        312 Fabrication de fils et câbles isoles;796.0;973.0;1120.0;878.0;1123.0;1140.0;1558.0;1534.0;3475.0;3964.0;3456.0;2941.0;3652.0;3292.0;4127.0;5323.0;5208.0;6106.0;5574.0;4265.0;4787.0;3689.0;3772.0;3992.0
        313 Fabrication de matériel de distribution et de commande;1133.0;1084.0;1014.0;1283.0;1172.0;1157.0;1215.0;1285.0;1301.0;1132.0;1688.0;2143.0;1092.0;708.0;648.0;1272.0;1462.0;1252.0;1165.0;1367.0;1566.0;1178.0;1399.0;1854.0
        314 Fabrication d'accumulateurs et de piles électriques;675.0;561.0;595.0;530.0;530.0;536.0;682.0;630.0;662.0;724.0;573.0;557.0;787.0;1243.0;1249.0;713.0;477.0;676.0;1037.0;1073.0;792.0;1019.0;883.0;658.0
        315 Fabrication de lampes et d'appareils d'émission et de transmission;1359.0;1070.0;1546.0;1546.0;1522.0;1480.0;1317.0;1619.0;1675.0;1529.0;1514.0;1550.0;1453.0;1599.0;1429.0;1505.0;1506.0;1593.0;1488.0;1614.0;1611.0;1355.0;1483.0;1210.0
        316 Fabrication d'autres matériels électriques;319.0;378.0;384.0;550.0;473.0;510.0;579.0;517.0;2803.0;5067.0;7553.0;10123.0;13815.0;16701.0;16543.0;18211.0;21888.0;32571.0;32152.0;31264.0;47679.0;56264.0;42497.0;48572.0
    32 Fabrication d'équipements de radio, télévision et communication;5759.0;5741.0;4645.0;4027.0;3462.0;3932.0;3951.0;4321.0;4620.0;5035.0;6518.0;6136.0;6260.0;6493.0;6328.0;5809.0;5774.0;6092.0;5164.0;4177.0;4688.0;5283.0;5384.0;5436.0
        321 Fabrication de composants électroniques;3732.0;3642.0;2793.0;2859.0;2613.0;3328.0;3241.0;3603.0;4283.0;4698.0;6126.0;5723.0;5705.0;6079.0;5899.0;5411.0;5406.0;5709.0;4803.0;3852.0;4435.0;5066.0;5166.0;5134.0
        322 Fabrication d'appareils d'émission et de transmission;2027.0;2099.0;1852.0;1168.0;849.0;604.0;710.0;718.0;265.0;272.0;283.0;358.0;367.0;344.0;358.0;357.0;323.0;334.0;348.0;309.0;237.0;217.0;218.0;302.0
        323 Fabrication d'appareils de réception, enregistrements ou reproduction du son et de l'image;;;;;;;;;72.0;65.0;109.0;55.0;188.0;70.0;71.0;41.0;45.0;49.0;13.0;16.0;16.0;;;
    33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;212.0;193.0;279.0;378.0;467.0;554.0;549.0;531.0;875.0;932.0;775.0;708.0;620.0;673.0;733.0;1014.0;1583.0;1059.0;1025.0;3402.0;1171.0;4052.0;4348.0;3797.0
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;48.0;47.0;126.0;199.0;172.0;202.0;183.0;176.0;305.0;300.0;207.0;228.0;261.0;252.0;271.0;360.0;391.0;365.0;279.0;314.0;262.0;265.0;251.0;314.0
        332 Fabrication d'instruments de mesure et de contrôle;;;8.0;8.0;8.0;13.0;13.0;10.0;215.0;255.0;218.0;169.0;218.0;335.0;388.0;578.0;1091.0;621.0;706.0;1249.0;877.0;490.0;705.0;695.0
        333 Fabrication d'équipements de contrôle des processus industriels;;;;;;;;;;;;;;;;;;;;;;14.0;14.0;14.0
        334 Fabrication de matériel optique et photographique;90.0;68.0;79.0;108.0;194.0;247.0;259.0;262.0;298.0;319.0;313.0;311.0;141.0;86.0;74.0;76.0;101.0;73.0;40.0;1839.0;32.0;3283.0;3378.0;2774.0
        335 Horlogerie;74.0;78.0;66.0;63.0;93.0;92.0;94.0;83.0;57.0;58.0;37.0;;;;;;;;;;;;;
Total General;329761.0;345241.0;358598.0;373438.0;376265.0;378947.0;387137.0;403704.0;419865.0;437447.0;438460.0;434390.0;458137.0;469411.0;476172.0;477550.0;486323.0;490586.0;476743.0;474977.0;530258.0;557424.0;550078.0;547181.0
