;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
    37 Récupération;;;;18.063;18.063;18.063;18.063;18.063;18.063;18.063;18.063;20.784;29.262;22.246;27.272;32.019;34.118;34.359;32.906;32.977;35.169;38.511;41.754;44.276;41.619;40.734;44.32
        372 Récupération de matières non métalliques recyclable;;;;18.063;18.063;18.063;18.063;18.063;18.063;18.063;18.063;20.784;29.262;22.246;27.272;32.019;34.118;34.359;32.906;32.977;35.169;38.511;41.754;44.276;;;
5 Industrie électrique et électronique;5052.096;5122.371;4861.395;4147.27;3997.636;3886.389;4320.397;4852.021;6056.81;6715.025;8206.674;9141.956;10453.504;12030.835;12938.047;14891.14;18461.194;21479.895;21009.518;19319.49;23150.799;28061.121;27102.951;29517.892;31747.557;34341.5;33387.481
    31 Fabrication de machines et appareils électriques;2781.903;2803.271;2655.058;3006.346;3084.723;3043.571;3275.196;3545.667;4769.371;5367.292;6238.163;7627.944;8937.986;10297.592;10982.362;12804.126;15800.252;18932.507;18264.421;15934.189;20803.961;25006.625;24088.26;26646.904;29179.065;31670.39;30661.03
        311 Fabrication de moteurs, génératrices et transforma;686.272;683.421;404.223;631.884;578.424;504.144;269.771;374.509;311.179;281.908;308.805;327.716;325.803;423.081;351.825;297.333;299.378;311.451;356.39;341.984;494.358;507.915;413.131;404.431;;;
        312 Fabrication de fils et câbles isoles;317.349;340.104;407.712;334.825;383.119;433.338;847.184;782.962;1087.27;1324.959;1408.083;1707.055;1914.01;2070.895;2003.55;2578.572;2611.933;2313.782;2542.337;2015.446;1804.025;1963.034;2045.926;2347.169;;;
        313 Fabrication de matériel de distribution et de commande;1133.139;1262.957;1123.844;1271.453;1317.288;1308.707;900.167;1002.936;1018.407;896.619;1404.134;1634.17;1119.137;729.972;730.729;1835.406;2768.92;3005.093;1863.878;2602.35;3306.475;3449.115;3496.693;3737.338;;;
        314 Fabrication d'accumulateurs et de piles électriques;276.815;272.207;284.116;288.031;294.38;297.123;762.143;837.891;878.549;739.851;251.039;250.805;573.127;975.543;1086.06;292.139;228.62;415.608;1697.728;681.926;366.994;728.854;700.486;325.841;;;
        315 Fabrication de lampes et d'appareils d'émission et de transmission;305.09;157.8;274.899;179.044;269.96;239.668;213.041;287.131;319.007;340.911;361.183;262.705;267.518;354.004;287.082;357.729;383.352;389.551;431.125;440.512;433.932;377.549;339.291;326.818;;;
        316 Fabrication d'autres matériels électriques;63.238;86.782;160.264;301.109;241.552;260.591;282.89;260.238;1154.959;1783.044;2504.919;3445.493;4738.391;5744.097;6523.116;7437.141;9497.926;12484.258;11356.784;9836.483;14384.32;18544.859;17092.733;19505.307;;;
    32 Fabrication d'équipements de radio, télévision et communication;2235.435;2277.994;2151.452;1065.704;840.242;751.192;949.977;1209.74;1030.856;1051.254;1736.449;1340.814;1288.562;1453.806;1651.676;1600.046;1696.892;1604.317;1593.866;1135.789;1408.623;1485.892;1501.812;1339.303;1175.07;1428.499;1466.211
        321 Fabrication de composants électroniques;1228.548;1231.206;1211.302;414.432;434.158;555.528;683.965;841.086;795.111;847.828;1501.296;994.348;964.646;1211.833;1373.468;1281.79;1297.305;1204.18;1224.487;784.485;1114.722;1257.435;1268.443;1113.09;;;
        322 Fabrication d'appareils d'émission et de transmission;1006.887;1046.788;940.15;651.272;406.084;195.664;266.012;368.654;214.06;187.382;218.524;336.494;304.71;233.171;270.204;310.196;289.718;287.559;270.849;252.332;225.536;228.457;233.369;226.213;;;
        323 Fabrication d'appareils de réception, enregistrements ou reproduction du son et de l'image;;;;;;;;;21.685;16.044;16.629;9.972;19.206;8.802;8.004;8.06;8.425;11.124;2.27;2.414;2.136;;;;;;
    33 Fabrication d'instruments médicaux, de précision d'optique et horlogerie;34.758;41.106;54.885;75.22;72.671;91.626;95.224;96.614;256.583;296.479;232.062;173.198;226.956;279.437;304.009;486.968;964.05;943.071;1151.231;2249.512;938.215;1568.604;1512.879;1531.685;1393.422;1242.611;1260.24
        331 Fabrication de matériel médico-chirurgical et d'orthopédie;5.542;6.095;19.838;44.376;24.997;28.428;22.75;24.989;44.015;35.436;23.187;23.251;30.365;36.416;37.883;42.0;60.434;62.613;59.128;68.949;44.989;44.248;46.767;52.931;;;
        332 Fabrication d'instruments de mesure et de contrôle;;;0.458;0.458;0.458;0.553;0.598;0.537;123.407;196.625;154.448;89.532;172.97;230.494;255.8;433.171;885.456;864.536;1079.6;1691.847;869.856;409.557;424.292;381.909;;;
        333 Fabrication d'équipements de contrôle des processus industriels;;;;;;;;;;;;;;;;;;;;;;8.092;8.274;8.196;;;
        334 Fabrication de matériel optique et photographique;16.775;20.236;23.983;24.27;39.519;54.877;63.739;65.394;86.071;60.301;51.518;58.939;22.362;10.919;8.639;9.964;13.016;9.993;4.921;479.477;5.012;1106.707;1033.546;1088.649;;;
        335 Horlogerie;12.17;14.571;10.377;5.859;7.326;7.36;7.574;5.223;2.484;2.521;1.2;;;;;;;;;;;;;;;;
Total General;129936.894;142261.011;149034.844;151424.072;160329.801;169460.622;174631.498;187768.121;185404.943;188689.158;191179.3;197644.796;207136.95;212149.425;216202.128;244391.416;272969.075;308417.138;356536.534;325450.855;366598.779;418882.557;430879.904;434753.112;431436.545;402526.163;401429.119
