;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2019
        251 Industrie Du caoutchouc;2383.0;2498.0;2552.0;2636.0;2178.0;2863.0;2507.0;2808.0;2666.0;1825.0;1654.0;1070.0;1309.0;1239.0;1131.0;1217.0;1133.0;1003.0;822.0;1714.0;1837.0;2269.0;1568.0;1488.0;;;;
        252 Transformation des matières plastiques;6770.0;7323.0;8049.0;8457.0;8930.0;9145.0;9644.0;9720.0;11229.0;11596.0;12001.0;11428.0;11253.0;10822.0;11484.0;13350.0;11158.0;12561.0;12814.0;13378.0;12571.0;13825.0;13885.0;14593.0;;;;
    26 Fabrication D'autres produits minéraux non métalliques;31447.0;35794.0;38245.0;37907.0;35465.0;33015.0;38980.0;40483.0;37805.0;36904.0;37537.0;34183.0;30446.0;32857.0;31506.0;37467.0;48804.0;34545.0;36428.0;37055.0;38656.0;40447.0;35721.0;34235.0;42482.0;40445.0;42912.0;
        261 Fabrication De verre et d'articles en verre;1783.0;1386.0;1930.0;1922.0;1380.0;1698.0;1752.0;1820.0;1529.0;1211.0;1625.0;1883.0;2002.0;2030.0;1896.0;1594.0;1918.0;1467.0;2004.0;1705.0;2198.0;2204.0;2302.0;2409.0;;;;
        262 Fabrication De produits céramiques;3183.0;4159.0;4265.0;4189.0;4770.0;4973.0;5218.0;5053.0;1163.0;1348.0;1421.0;1293.0;1337.0;1890.0;1701.0;1321.0;1438.0;1523.0;1615.0;1655.0;2012.0;1884.0;1674.0;1606.0;;;;
        263 Fabrication De carreaux en céramiques;;;;;;;;8.0;4160.0;4000.0;4684.0;4611.0;4948.0;4412.0;4000.0;6415.0;8577.0;5038.0;5012.0;4607.0;4276.0;3766.0;3292.0;3349.0;;;;
        264 Fabrication De tuiles et briques en terre cuite;3586.0;3924.0;4533.0;4584.0;5310.0;5031.0;4828.0;4575.0;4464.0;4656.0;4546.0;3821.0;4015.0;4795.0;4322.0;6022.0;13844.0;4668.0;5564.0;5081.0;6094.0;5259.0;5181.0;4533.0;;;;
        265 Fabrication De ciment, chaux et plâtre;4419.0;4852.0;4617.0;5023.0;5203.0;4816.0;4904.0;4297.0;3078.0;3863.0;3816.0;3315.0;2595.0;2854.0;2893.0;2983.0;3255.0;3296.0;2896.0;2966.0;3200.0;3565.0;3188.0;2974.0;;;;
        266 Ouvrages en Béton ou en plâtre;14533.0;16014.0;17267.0;17759.0;14340.0;13239.0;18597.0;21159.0;19723.0;18325.0;18304.0;15716.0;12586.0;13469.0;13042.0;13663.0;13509.0;12867.0;13261.0;15457.0;15195.0;17711.0;14132.0;13656.0;;;;
        267 Travail de la Pierre;2167.0;3512.0;3253.0;2419.0;2336.0;2022.0;2051.0;2198.0;2330.0;2313.0;2422.0;2639.0;2363.0;2564.0;2789.0;2780.0;2964.0;3004.0;2656.0;2667.0;2742.0;2770.0;2800.0;2641.0;;;;
        268 Fabrication De produits minéraux divers;1776.0;1947.0;2380.0;2011.0;2126.0;1236.0;1621.0;1362.0;1347.0;1178.0;709.0;895.0;548.0;797.0;813.0;2632.0;3219.0;2535.0;3411.0;2888.0;2780.0;3288.0;3152.0;3067.0;;;;
4 Industrie mécanique et métallurgique;38952.0;42670.0;50710.0;52679.0;50390.0;51324.0;50566.0;50356.0;49050.0;50574.0;50005.0;48868.0;50243.0;52765.0;55989.0;54831.0;56870.0;55934.0;57756.0;63444.0;69140.0;71620.0;75583.0;80716.0;90444.0;86916.0;94176.0;289677.0
    27 Métallurgie;1705.0;1758.0;1810.0;1548.0;1829.0;2047.0;2136.0;2023.0;4601.0;4824.0;5019.0;4892.0;4906.0;4950.0;6632.0;5257.0;5293.0;5777.0;6388.0;7834.0;9952.0;9592.0;9457.0;8982.0;9485.0;9694.0;11564.0;
        271 Sidérurgie Et production de ferro-alliages;;;;;;;;;2173.0;2433.0;1919.0;1597.0;1772.0;1776.0;2207.0;2472.0;2633.0;2653.0;2841.0;3440.0;4431.0;4741.0;4040.0;4482.0;;;;
        272 Fabrication de tubes en fonte ou en acier;108.0;80.0;33.0;10.0;10.0;30.0;32.0;35.0;1217.0;1270.0;1716.0;929.0;645.0;697.0;631.0;692.0;496.0;640.0;1014.0;1097.0;1743.0;1523.0;1481.0;1495.0;;;;
        273 Première transformation de l'acier;801.0;923.0;988.0;806.0;953.0;982.0;1019.0;930.0;25.0;57.0;139.0;289.0;347.0;425.0;382.0;250.0;231.0;150.0;145.0;181.0;229.0;256.0;275.0;254.0;;;;
        274 Production de métaux non ferreux;158.0;242.0;283.0;256.0;263.0;250.0;324.0;262.0;1171.0;1028.0;895.0;1380.0;1579.0;1435.0;2949.0;1362.0;1277.0;1422.0;1550.0;1759.0;2420.0;2039.0;2225.0;1678.0;;;;
        275 Fonderie;638.0;513.0;506.0;476.0;603.0;785.0;761.0;796.0;15.0;36.0;343.0;690.0;556.0;610.0;456.0;471.0;648.0;869.0;791.0;1303.0;1033.0;1033.0;1436.0;1073.0;;;;
    28 Travail des métaux;20419.0;22104.0;25334.0;27128.0;23869.0;24574.0;24045.0;24473.0;23404.0;25073.0;25630.0;22917.0;22389.0;23956.0;25968.0;26331.0;27031.0;25159.0;25888.0;27744.0;28948.0;31541.0;29645.0;32067.0;33476.0;32784.0;36191.0;
        281 Fabrication d'éléments en métal pour la construction;5032.0;7655.0;8397.0;8889.0;7529.0;7709.0;6607.0;7006.0;7361.0;8790.0;9788.0;10391.0;9441.0;9620.0;10913.0;10790.0;12624.0;10975.0;11183.0;12796.0;13043.0;16074.0;14447.0;16830.0;;;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;3852.0;3941.0;4650.0;2658.0;2343.0;2581.0;2731.0;2670.0;2895.0;2629.0;2228.0;2240.0;2057.0;2308.0;2335.0;2425.0;;;;
        283 Chaudronnerie;4530.0;3359.0;3667.0;3823.0;4322.0;4626.0;6012.0;6372.0;182.0;196.0;347.0;518.0;243.0;175.0;147.0;76.0;89.0;142.0;122.0;190.0;201.0;186.0;78.0;59.0;;;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;6.0;5.0;11.0;11.0;558.0;795.0;315.0;264.0;206.0;1127.0;1015.0;932.0;997.0;1032.0;1664.0;1317.0;1144.0;1044.0;1047.0;1246.0;;;;
"        285 Traitement des métaux ; mécanique générale";867.0;866.0;533.0;654.0;651.0;795.0;700.0;716.0;4036.0;4115.0;3502.0;3494.0;3733.0;4260.0;4682.0;4360.0;4060.0;3702.0;3590.0;3822.0;3906.0;3871.0;3874.0;3530.0;;;;
