;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
        232 Raffinage de pétrole;12787.961;12787.961;14071.278;14071.278;14071.278;14082.262;14083.416;15591.85;15904.928;15771.094;15271.829;16473.142;17939.593;12831.877;19681.95;27716.828;31491.231;29896.045;33709.721;20516.501;35592.468;53323.421;57812.426;50963.189;;;;;;;
    24 Industrie Chimique;16634.683;17766.27;17851.058;19141.985;20119.562;21877.241;21193.842;24559.571;22849.357;22556.661;21420.15;20396.74;21188.32;23641.036;24555.807;28121.511;29294.221;33690.58;55447.325;33603.219;54239.108;66445.83;62769.886;57405.873;58205.768;68980.623;60163.541;;;;
        241 Industrie Chimique de base;11009.01;11750.753;11507.115;11785.864;12398.775;14362.02;13473.119;16032.085;13774.71;14115.84;13189.008;12450.257;12537.299;12692.305;13161.822;16144.62;16914.008;20284.854;40287.807;16365.291;34881.967;47911.807;44293.036;37798.359;;;;;;;
        242 Produits Agro-chimiques;181.788;182.795;165.551;224.277;210.626;219.18;244.377;206.478;157.38;188.476;267.114;93.087;98.135;98.157;81.325;122.042;128.847;150.88;125.087;130.151;110.389;106.401;106.499;108.496;;;;;;;
        243 Peintures et vernis;1140.412;1301.366;1441.696;1576.545;1577.876;1574.688;1573.956;1837.084;1941.102;1860.22;1800.369;1585.005;1676.236;1864.857;2327.151;2292.937;2462.609;2680.477;3094.66;4046.941;4906.814;4838.608;4641.003;4796.967;;;;;;;
        244 Industrie Pharmaceutique;2069.552;2201.249;2492.285;3153.755;3149.587;2740.377;2788.888;2857.861;3397.659;2945.024;2775.603;3705.779;4265.647;4430.996;4639.375;5173.375;5126.604;5554.354;6833.531;7284.702;8528.084;7357.229;7992.641;9090.194;;;;;;;
        245 Fabrication de savons, de parfums et de produits d'entretien;1516.825;1641.772;1497.353;1624.578;1895.824;2061.91;2217.161;2653.356;2811.266;2756.182;2810.08;1579.986;1685.634;3478.985;3527.331;3499.112;3608.582;4004.838;4490.43;4448.518;4516.659;4828.866;4279.714;4185.563;;;;;;;
        246 Fabrication d'autres produits chimiques;717.096;688.335;747.058;776.966;886.874;919.066;896.341;972.707;767.24;689.381;576.247;980.863;923.586;1041.6;785.595;854.391;1031.694;989.141;1113.587;1303.328;1269.097;1392.658;1448.248;1426.294;;;;;;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;1.538;1.508;1.553;1.583;31.659;30.422;32.129;18.563;21.044;20.075;14.75;15.395;10.261;8.745;;;;;;;;
    25 Industrie du caoutchouc et des plastiques;2358.413;2649.328;2644.486;2753.741;2790.592;3085.94;3706.483;4281.232;4265.302;4301.118;4680.685;4267.537;4693.389;4245.243;4430.937;4986.865;5627.188;6928.402;7709.72;7652.185;7021.619;8641.661;9307.263;9640.638;9743.587;9936.153;9217.144;;;;
