;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
        272 Fabrication de tubes en fonte ou en acier;5.323;0.285;0.102;0.102;0.102;0.113;0.112;0.1;16.728;60.816;297.481;48.262;14.143;39.951;13.99;24.836;37.984;32.944;64.49;81.166;132.799;70.978;166.0;53.675;;;;;;
        273 Première transformation de l'acier;26.758;20.253;6.746;8.521;12.323;8.095;10.967;4.672;;;6.432;1.756;4.739;6.079;8.04;4.911;38.959;7.098;16.222;30.864;22.545;13.956;16.492;8.093;;;;;;
        274 Production de métaux non ferreux;5.759;13.246;6.597;9.631;2.744;4.632;4.237;3.854;15.524;15.236;39.532;124.099;63.248;37.77;22.223;139.307;104.885;28.626;64.392;52.551;48.415;26.957;28.393;35.407;;;;;;
        275 Fonderie;3.536;2.722;2.614;2.614;6.931;7.52;6.219;7.862;0.005;0.142;1.521;3.174;2.173;4.159;40.204;0.237;20.447;18.343;89.986;29.364;23.233;12.435;43.456;569.808;;;;;;
    28 Travail des métaux;332.834;298.073;321.77;312.917;318.24;382.337;372.358;428.472;433.93;470.845;505.684;736.011;355.395;320.131;326.333;343.925;472.116;765.983;1547.612;1610.912;2433.031;1302.756;726.468;554.482;649.738;764.087;625.91;;;
        281 Fabrication d'éléments en métal pour la construction;54.773;83.68;80.771;76.528;60.895;83.981;86.881;81.773;64.028;90.962;104.434;82.597;45.022;72.087;117.575;88.415;145.83;150.72;228.14;264.634;224.029;303.812;278.522;267.891;;;;;;
        282 Fabrication de réservoirs métalliques et de chaudières;;;;;;;;;94.62;115.883;60.377;29.062;39.437;92.845;86.241;22.934;22.258;12.713;24.329;14.146;22.125;40.988;53.953;43.266;;;;;;
        283 Chaudronnerie;40.653;64.146;27.251;27.074;96.375;97.143;95.008;110.548;1.642;1.895;1.296;0.875;2.118;0.139;0.223;1.78;3.886;1.847;2.067;14.82;28.028;1.338;1.51;1.061;;;;;;
        284 Forge, emboutissage, estampage, métallurgie des poudres;;;;;;;;;11.681;14.373;0.522;12.765;15.02;20.577;8.993;7.945;31.541;31.461;99.403;17.375;13.281;16.373;4.848;23.725;;;;;;
"        285 Traitement des métaux ; mécanique générale";10.387;5.048;4.551;1.228;3.766;6.235;3.153;2.808;75.942;47.848;54.361;391.715;148.35;34.953;40.568;78.178;48.876;25.347;34.141;83.196;99.42;29.131;47.34;45.261;;;;;;
