;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2019;2020
        232 Raffinage de pétrole;1594.147;1594.147;1729.389;1729.389;1729.389;1731.644;1732.094;1881.64;2274.741;2121.366;1935.741;2099.964;2277.283;1481.103;1885.869;2733.537;2008.406;2211.245;1154.254;2924.96;4383.228;3988.2285;4788.7769;4115.4686;;;;;;
    24 Industrie Chimique;3404.28894;4254.99955;5210.98774;4119.35528;6049.444;6676.16606;7322.48965;8499.481039999999;7608.53966;7848.25682;6894.12568;7244.631;7912.8196;8357.7716;8476.1103;9896.6676;9333.3743;12485.7969;14548.9057;9617.63057;17230.30985;16246.494;14917.439;17051.8985;27805.526;29662.434;22184.5725;;;
        241 Industrie Chimique de base;1733.134;2366.718;3195.388;1940.739;3717.276;4340.707;4805.328;5803.662;4628.701;5114.1;4134.017;4068.989;4517.196;3801.26;4101.967;4428.666;4686.517;7611.737;8610.183;3036.497;9453.956;8721.1764;7797.9343;9863.8344;;;;;;
        242 Produits Agro-chimiques;139.626;131.808;126.226;101.255;185.626;144.762;132.112;132.774;119.937;85.217;82.452;81.269;98.851;120.34;90.735;105.414;101.389;58.886;64.702;65.384;29.446;60.1694;62.2338;56.4378;;;;;;
        243 Peintures et vernis;281.873;354.4;374.723;459.84;430.649;394.247;471.046;494.748;550.489;572.032;571.094;493.816;559.72;866.883;691.229;535.975;686.441;801.887;790.232;975.297;1194.566;1070.7248;916.146;965.4989;;;;;;
        244 Industrie Pharmaceutique;650.326;752.217;795.11;819.462;836.976;954.139;1079.333;1038.137;1291.116;1175.136;1236.309;1748.856;1902.087;2183.426;2331.693;2527.643;2540.634;2722.272;3399.711;3909.477;4799.347;4505.07;4531.6922;4667.2131;;;;;;
        245 Fabrication de savons, de parfums et de produits d'entretien;394.415;427.705;508.565;556.722;647.088;570.681;558.992;750.246;823.583;679.127;611.257;523.066;517.354;1013.017;938.824;1944.76;909.295;952.447;1350.373;1229.653;1310.794;1393.3747;1096.345;1014.8306;;;;;;
        246 Fabrication d'autres produits chimiques;204.921;222.159;210.979;241.346;231.829;271.642;275.689;279.928;194.717;222.884;255.837;325.802;314.848;351.489;297.062;324.942;387.775;307.839;307.477;381.436;421.416;492.7177;509.9697;484.0837;;;;;;
        247 Fabrication de fibres artificielles ou synthétique;;;;;;;;;;-0.229;-0.236;-0.237;-0.272;17.353;20.305;24.455;16.47;16.041;13.256;4.217;3.562;3.261;3.118;;;;;;;
    25 Industrie du caoutchouc et des plastiques;810.2446;948.05548;966.90362;989.25513;1016.05508;1084.55956;1157.57404;1280.85977;1368.0155;1341.1488;1478.3689;1364.342;1428.85;1250.63793;1277.16497;1325.41188;1387.3405;1570.80806;1662.24691;2022.04498;1652.43857;1905.6394;2111.3527999999997;2105.349;2150.136;2274.995;2307.8021;;;
        251 Industrie Du caoutchouc;473.299;535.376;482.765;505.393;497.193;473.624;479.46;529.205;472.256;390.615;352.096;210.689;273.435;197.413;150.268;133.74;116.545;69.875;61.521;77.759;50.828;113.684;115.7526;128.9738;;;;;;
        252 Transformation des matières plastiques;336.95;412.69;484.148;483.872;518.873;610.942;674.325;747.555;891.368;945.89;1121.631;1148.787;1151.032;1048.623;1122.3;1187.212;1264.695;1494.896;1593.597;1933.805;1590.929;1791.9554;1995.6002;1976.3752;;;;;;
    26 Fabrication D'autres produits minéraux non métalliques;2969.5311;3682.93669;3620.30036;3474.75775;3840.1997;4195.27647;5057.6973;5282.54673;4445.29502;4884.5075;5480.38934;5346.09913;5374.31321;5931.22539;5393.24951;6483.08214;8131.82585;10717.04705;11466.54402;13571.15869;15318.81793;18281.76062;17184.7578;18235.4955;18821.254;21353.197;18755.2716;;;
        261 Fabrication De verre et d'articles en verre;124.994;135.839;137.746;143.564;88.344;150.425;168.961;185.367;189.276;221.142;261.627;275.045;264.019;262.879;263.553;274.273;265.669;299.959;318.13;413.488;358.667;370.347;410.416;379.1659;;;;;;
        262 Fabrication De produits céramiques;272.59;305.497;324.41;327.95;350.587;467.526;498.583;515.551;188.846;207.713;218.757;230.542;222.487;290.419;299.208;261.127;272.639;293.264;317.412;345.997;451.312;372.3949;376.0584;399.2973;;;;;;
        263 Fabrication De carreaux en céramiques;;;;;;;;0.223;380.25;369.292;385.28;436.119;477.997;434.39;334.758;558.598;758.422;544.537;665.337;747.799;604.793;579.4794;548.566;520.6658;;;;;;
