,Taux d’Utilisation des Capacités,Evolution de la production au cours des trois prochains mois,Evolution de la production par rapport au mois précédent,Evolution des nouvelles commandes par rapport au mois précédent,Evolution des ventes au cours des trois prochains mois,Evolution des ventes par rapport au mois précédent,Niveau des carnets de commandes par rapport au mois précédent,Niveau des stocks de PF,Evolution de la production au cours des trois prochains mois (2),Evolution de la production par rapport au mois précédent (2),Evolution des nouvelles commandes par rapport au mois précédent (2),Evolution des ventes au cours des trois prochains mois (2),Evolution des ventes par rapport au mois précédent (2),Niveau des carnets de commandes par rapport au mois précédent (2),Niveau des stocks de PF (2),Evolution de la production au cours des trois prochains mois (3),Evolution de la production par rapport au mois précédent (3),Evolution des nouvelles commandes par rapport au mois précédent (3),Evolution des ventes au cours des trois prochains mois (3),Evolution des ventes par rapport au mois précédent (3),Niveau des carnets de commandes par rapport au mois précédent (3),Niveau des stocks de PF (3),Evolution de la production au cours des trois prochains mois (4),Evolution de la production par rapport au mois précédent (4),Evolution des nouvelles commandes par rapport au mois précédent (4),Evolution des ventes au cours des trois prochains mois (4),Evolution des ventes par rapport au mois précédent (4),Niveau des carnets de commandes par rapport au mois précédent (4),Niveau des stocks de PF (4),Evolution de la production au cours des trois prochains mois (5),Evolution de la production par rapport au mois précédent (5),Evolution des nouvelles commandes par rapport au mois précédent (5),Evolution des ventes au cours des trois prochains mois (5),Evolution des ventes par rapport au mois précédent (5),Niveau des carnets de commandes par rapport au mois précédent (5),Niveau des stocks de PF (5),Evolution de la production au cours des trois prochains mois (6),Evolution de la production par rapport au mois précédent (6),Evolution des nouvelles commandes par rapport au mois précédent (6),Evolution des ventes au cours des trois prochains mois (6),Evolution des ventes par rapport au mois précédent (6),Niveau des carnets de commandes par rapport au mois précédent (6),Niveau des stocks de PF (6),Utilisation des capacités de production (cumulé),PRODUITS FINIS D'EQUIPEMENT INDUSTRIEL,DEMI PRODUITS 
2012-07-01,71.4652,4.9556,5.221,-3.5065,3.4369,13.8775,-4.0072,-4.9337,15.6422,-10.0723,-15.4827,-11.4028,10.1339,-15.3635,-3.8787,36.718,-7.2426,-8.8111,-27.5767,19.8911,-8.9514,5.5652,9.1873,-34.8713,-47.3884,26.8645,14.0812,-42.442,-20.6047,6.2664,-41.6623,-16.694,5.9469,-42.822,-30.4098,-12.0741,-63.272,-3.8348,-35.9544,-63.272,-29.6662,-29.0307,-18.8637,,,
2012-08-01,65.0188,16.4747,-34.5996,-0.4283,10.8751,-19.2527,-12.8546,-8.1248,54.6535,-20.9805,-15.033,52.1123,-3.801,-21.4279,5.4972,73.3868,8.9885,-11.2051,69.7384,39.0002,-14.1661,8.1107,69.4596,-54.1941,-59.0435,72.4786,-57.249,-42.9721,16.6341,19.8704,-49.4067,-14.2283,31.4482,-50.5789,-17.2796,-9.1531,73.8113,-67.839,7.8056,63.4595,-65.6766,-58.2779,28.979,,,
2012-09-01,70.0268,6.2566,12.8841,7.4795,15.6767,22.1143,-0.7749,-10.7329,45.6773,7.0974,40.9471,34.0146,56.8773,2.7326,0.2144,61.462,-15.4162,44.5572,38.2302,74.4492,23.2711,-0.3921,63.6646,14.3484,70.1192,40.3275,57.54,-24.9856,24.8538,20.3729,50.8712,46.6983,23.141,51.1793,-5.7393,-9.561,73.3442,80.0338,70.6464,73.3442,76.9443,-49.6318,-3.7793,,,
2012-10-01,70.5933,30.0333,-39.4575,-12.926,34.5339,-33.7151,-7.0217,-8.4451,30.3025,-2.3764,4.4784,24.4256,-3.7596,-6.8519,-0.9463,39.003,1.5188,-5.763,14.7136,-11.3235,-8.7473,2.5673,33.4238,42.7847,50.1002,33.23,48.6662,-5.2136,-8.775,17.3757,-7.6289,-2.0667,26.0937,22.5697,-15.4279,-6.3323,-23.5554,14.8761,39.7411,27.1948,14.6963,11.3259,29.7354,,,
2012-11-01,72.2028,6.9447,20.4881,-6.468,29.2648,-2.079,-10.6259,-2.086,-4.0863,12.3109,15.5191,15.8749,18.0085,-25.9802,10.6837,-18.8662,12.0731,38.9314,25.0388,35.4229,-48.7291,46.0159,12.8407,0.7798,18.8325,3.2397,7.5048,-16.3746,-26.817,11.9932,-0.1408,-7.5995,18.2366,15.2243,-9.2705,-2.7224,-20.4536,20.8736,-13.7386,-57.6763,27.2894,0.8518,-32.3233,,,
2012-12-01,70.5823,16.8633,0.8139,2.6814,20.001,27.1807,-21.3119,0.8057,17.2389,-6.7475,12.1673,4.1356,16.9672,-25.1775,10.5895,2.8226,-10.0077,37.0583,-2.7435,3.4495,-26.7006,38.1822,46.0072,1.627,3.7914,-24.2255,69.5179,-18.343,-26.9176,8.7574,20.3074,-9.3052,4.5372,15.3506,-33.9743,0.3537,54.2372,-59.7233,-74.9737,54.2372,-54.875,-37.6773,-35.699,,,
2013-01-01,67.0466,37.8765,-22.8118,-7.1764,37.1762,-26.7527,-16.6436,0.5415,42.5364,-31.4919,-16.7686,32.5295,-41.8552,-27.394,12.983,46.1357,-33.3673,-32.2809,19.4773,-47.5622,-40.2821,39.9912,58.8682,-60.3938,-6.3102,70.9117,-83.5441,-26.3264,-27.5358,-2.2065,-15.6906,-20.6028,2.02,-4.4733,-40.3547,-4.3184,41.3473,-1.3315,27.8786,41.3473,-2.1609,25.5432,-7.9324,,,
2013-02-01,66.4649,50.5346,-15.8982,5.2965,52.8702,-15.4194,-23.0919,6.3408,39.3539,-21.5786,-4.9239,32.9924,-12.1906,-36.3783,14.7706,40.6886,-39.4213,-20.8448,15.5963,-25.7311,-51.1678,38.6134,51.4273,5.9362,4.0134,67.3233,-5.188,-27.6019,-28.5918,-0.2571,-14.2139,-21.7377,0.2706,-3.6926,-43.9468,-4.5358,-3.6483,1.5442,54.3221,20.0232,64.2374,-4.6409,11.4338,,,
2013-03-01,67.961,58.5126,55.1846,16.4957,54.0678,44.6364,-17.324,6.6508,46.8188,48.1464,14.6416,44.6805,37.3828,-16.0056,15.617,50.622,45.6627,7.4683,47.6009,38.3491,-11.8249,34.8527,32.8377,58.2931,58.2749,31.5232,56.2081,-19.9223,-2.8938,2.4831,9.5108,-0.0623,15.1131,7.9116,-43.4309,-14.6127,51.928,50.677,-33.7137,48.4034,-13.2317,-2.8876,-4.4162,,,
2013-04-01,67.6732,27.9474,23.2069,0.3486,11.3123,5.2764,-32.2331,1.5314,38.7725,25.5891,-5.1811,31.1697,12.8536,-26.7658,15.0239,45.7251,38.5293,-1.738,46.6711,32.5086,-16.947,36.0109,52.8402,7.0043,0.3836,29.3314,3.5047,-43.9746,-3.3123,7.6054,-7.2067,-13.8384,8.9357,-25.0873,-34.8457,-6.5634,31.8678,24.6406,-53.6339,31.8678,-28.4499,-22.0543,-6.7542,,,
