,Crédit bancaire Industries alimentaires et tabac (MDH),Crédit bancaire Industries textiles-habillement-cuir (MDH),Crédit bancaire Industries chimiques-parachimiques (MDH),Crédit bancaire Industries métallurgiques-mécaniques-électriques (MDH),Crédit bancaire Industries manufacturières diverses (MDH),IPI — Industries manufacturières hors raffinage de pétrole,IPI — Industries alimentaires,IPI — Fabrication de boissons,IPI — Fabrication de produits à base de tabac,IPI — Fabrication de textiles,IPI — Industrie d’habillement,IPI — Industrie du cuir et de la chaussure (à l’exception de l’habillement en cuir),"IPI — Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",IPI — Industrie du papier et du carton,IPI — Imprimerie et reproduction d’enregistrements,IPI — Industrie chimique,IPI — Industrie pharmaceutique,IPI — Fabrication de produits en caoutchouc et en plastique,IPI — Fabrication d’autres produits minéraux non métalliques,IPI — Métallurgie,"IPI — Fabrication de produits métalliques, à l’exclusion des machines et des équipements","IPI — Fabrication de produits informatiques, électroniques et optiques",IPI — Fabrication d’équipements électriques,IPI — Fabrication de machines et équipements n.c.a.,IPI — Industrie automobile,IPI — Fabrication d’autres matériels de transport,IPI — Fabrication de meubles,IPI — Autres industries manufacturés,IPI — Réparation et installation de machines et équipements,Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH),Crédits à l'équipement — Industrie de transformation (MDH),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (2),Crédits à l'équipement — Industrie de transformation (MDH) (2),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (3),Crédits à l'équipement — Industrie de transformation (MDH) (3),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (4),Crédits à l'équipement — Industrie de transformation (MDH) (4),Comptes débiteurs et crédits de trésorerie — Industrie de transformation (MDH) (5),Crédits à l'équipement — Industrie de transformation (MDH) (5)
2015-04-01,28294.4005,6721.4318,11903.9861,16694.1667,19200.3465,,,,,,,,,,,,,,,,,,,,,,,,,17449.8366,7954.9596,3694.4931,924.4109,7689.0969,2370.7011,9420.4138,4542.1849,11055.3685,5300.4283
2015-07-01,28376.5767,6887.9217,11512.6176,17941.4507,17241.0782,,,,,,,,,,,,,,,,,,,,,,,,,17688.6246,7739.1161,3928.289,958.0705,7314.4647,1965.8768,10330.9532,4599.8807,9639.6181,4955.3737
2015-10-01,27884.2311,6796.3525,11824.9959,18261.1731,18047.2418,,,,,,,,,,,,,,,,,,,,,,,,,17236.9205,7885.2627,3788.6842,935.0183,8214.6969,1840.2582,9486.4567,4534.1918,9685.1892,4013.5563
2016-01-01,28323.1205,7039.8416,12071.1259,18075.241,16977.6986,104.7,108.2,99.8,96.5,106.6,103.8,107.7,92.0,109.7,107.8,108.4,104.3,104.3,103.3,98.9,98.0,95.0,92.1,101.0,114.3,129.2,87.4,95.2,103.7,17282.2006,8189.2757,3782.2792,974.6031,8381.379,1758.6385,9227.673,4794.3738,7948.6755,4145.8156
2016-04-01,26800.0803,7250.1711,12439.7859,17797.4425,18428.5103,109.1,107.6,89.3,94.5,101.0,110.0,96.0,74.3,117.6,98.1,128.8,101.5,125.2,103.4,95.3,102.8,99.8,102.9,114.4,117.3,128.8,87.4,122.3,100.8,16879.194,7319.242,3911.2861,1022.0478,7537.5338,2866.3412,9920.3685,4865.5097,8564.7917,4440.9784
2016-07-01,26927.8851,7323.3225,11932.8153,18501.5311,18219.4847,100.9,109.0,98.9,96.9,77.6,84.1,66.1,78.0,103.4,99.0,118.4,90.6,92.2,92.6,77.6,104.9,92.5,75.6,97.6,107.2,169.5,74.1,102.3,98.9,17097.0466,7189.9352,3986.522,1056.3155,7257.3124,2608.6574,10357.6362,4814.3411,8429.6462,4457.6788
2016-10-01,25601.3547,6186.8654,9149.5279,19039.624,21599.8642,106.1,109.7,113.4,102.8,94.3,106.0,96.5,83.9,99.7,106.1,106.0,99.0,105.7,102.3,92.4,103.4,100.7,112.6,120.0,115.5,142.7,97.3,108.2,99.7,15374.2111,7865.4517,3401.9368,569.9988,5099.4383,2140.5451,10439.1571,5204.531,7815.2953,3257.9812
2017-01-01,26805.3852,6123.5326,9026.1998,18278.6096,20477.4959,107.6,121.9,88.4,95.4,107.9,104.6,109.5,86.8,126.9,110.6,112.4,104.1,103.3,102.2,79.3,88.2,91.3,97.5,109.2,124.7,149.5,90.8,102.5,104.8,16469.7701,7854.4344,3428.3966,553.964,4908.6427,2150.368,10425.3033,4830.0447,6991.8624,3205.3298
2017-04-01,27891.0943,6315.9254,9161.3433,18933.2072,20709.3314,110.7,114.9,83.6,95.3,97.5,99.1,108.6,74.4,117.1,99.7,136.1,99.0,127.5,93.7,83.3,108.6,103.4,107.2,116.8,124.6,179.1,76.3,118.1,102.2,17850.6517,7900.9569,3409.2436,656.0372,4736.2198,2093.7209,11133.7803,4766.8611,7768.9565,3101.113
2017-07-01,27920.5607,6161.6162,10102.569,18659.6267,19453.9311,102.8,114.2,119.5,97.2,77.7,80.0,69.9,77.7,102.9,100.2,122.6,93.7,92.4,93.0,80.6,109.8,96.4,78.9,101.0,96.8,171.7,73.5,100.4,99.3,17749.4562,7857.4002,3263.2571,655.4715,5617.7937,2109.3878,10833.7171,4639.7871,6392.0739,3214.1623
