"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4
Fabrication de produits chimiques,,,,,0.09154074453922315,-0.04952069423150318,0.013033134043210092,-0.001047455384321782,-0.05656360283210091,-0.1089193539719225,0.10922473073233133,0.06231346359838354,0.05912024667319015,0.059779136683484425,-0.023071871575695187,0.0010259287996587547,0.02993747472031855,0.0612751181731201,0.012719446568150165,0.024080883209514427,0.02100784112230295,0.06063804420482141,-0.028042615870604328,0.034081551418034615,0.047914295044140326,0.02367197915673277,0.05361306524344626,0.01720485542426007,-0.029741389127021806,-0.0390794224977892,-0.09502932444449784,0.038087280592014744,-0.09503374029856575,-0.021007678388996337,0.005437199012010288,-0.23044353031874443,0.05986175458430203,-0.0963290245563362,0.14125594395808552,0.4560168127287872
Fabrication de produits pharmaceutiques de base et de préparations pharmaceutiques,,,,,0.042059010478331806,-0.017914164083313793,0.012910375843286435,-0.021294107097551324,0.031270319351799906,0.01623590207551288,-0.01893803140369153,-0.01640213452145213,0.009477637837544876,0.01615796386245269,0.010992173468526557,0.010499884195640664,0.01563222642152196,-0.01632309718948969,-0.004592332885911465,0.011501591453370787,-0.015189039309829643,0.04415163499176966,-0.007129158043794891,-0.006613668152778181,0.053762407449291415,-0.09065607848559387,0.03311591317907933,0.05349344585188388,0.016232228176264695,-0.0057278487727190006,-0.023270587344369785,0.010175397073202927,0.06820440019163936,-0.0499259797651484,0.06776188736832396,-0.012634422300292682,-0.00022890171595188284,0.059510987891345554,0.007013024718880546,-0.028928524135265987
"Fabrication d’articles en caoutchouc et en matières plastiques, et autres produits minéraux non métalliques",,,,,0.028393351679371064,0.060754238797665484,-0.06567527015112333,0.048461108097376526,-0.004540324396983687,-0.03216030502499471,0.06338725911091929,-0.05189611283991929,0.004481586648907636,-0.03550476777029548,0.05259031879617479,0.017178419924816904,-0.0001755108523699594,0.051418254116516765,-0.021188329537916238,-0.004035177705807684,0.11306281997376846,0.05780226151798745,-0.06060960943600848,-0.0048862298826359675,-0.09575927182763551,-0.42014871954389554,0.4849284296621928,-0.02101436918892791,0.0674260753997513,-0.00351312216012137,0.05743671740607758,0.014066659560644295,-0.04361338524479729,-0.06468478659916542,-0.02494926619381041,0.030775142582984968,0.02855065643887805,-0.011880764291732869,0.09221355325483974,-0.05498393592907228
"Fabrication de produits métallurgiques de base et d’ouvrages en métaux, sauf machines et matériel",,,,,0.11014373064736294,-0.04790021756396681,-0.026703197368366145,0.04803926234173864,-0.011215878028784487,0.040237686920872706,-0.08885395721820076,0.040039105412478425,-0.09584573831535118,0.156581933934142,-0.03675496499843369,-0.08790275526192194,0.035815378362165126,0.022980137593651962,0.002822794977897166,-0.10179460019106139,0.057103714092471794,0.036792271627963884,-0.021413656943766936,-0.07825783511933325,0.08482975763120071,-0.3116433357850913,0.24966874415910492,0.03745072321596514,0.05404568245965075,-0.017447246609399943,-0.011063469768983342,0.13862802899691207,-0.12960443701003405,0.047939545086197355,-0.003811292450806916,-0.017424211033679755,-0.00934335755968374,-0.036537471496464045,0.0036933839714059324,0.028534935011960753
"Fabrication d’ordinateurs, d’articles électroniques et optiques",,,,,-0.0013156478742785964,0.0004217578144497975,-0.0008995668513435266,0.0009388105042384054,0.0009755690138596187,-0.0007264136061755585,6.276955475405746e-05,-0.0027467088488092647,-0.0009729813516446797,0.0037979834728585366,0.00043269763070927095,1.7336724893787979e-06,0.00360552270229716,0.0019996185754666608,0.0023375322789424557,-0.0004627076958143755,0.005635577904248156,-0.0032369942952147858,0.001114136701987808,-0.0023308281876449834,0.0005194679494519455,-0.0007995270512457747,-0.005240179828503418,-0.007594583062265372,0.038897416662466856,0.012595673686357573,-0.008600505163635563,-0.024816822837116007,0.02374899969140653,0.0055324874013467475,0.00044954542681107653,0.0038401675735450207,-0.00048035459004945174,0.001799048163636935,0.01827887752702641,0.0041162727896883545
Fabrication de matériel électrique ,,,,,0.009599166997657105,-0.0029176250412195105,0.03779450262265601,-0.042056295095079,0.01795361961415359,-0.010047235964514678,0.012096314260965118,-0.021064160056417387,0.04040762364091822,-0.016151584567201546,0.0057728902029259115,0.006953795280707047,-0.019619649169738813,0.028811451962499186,-0.02351680771125082,0.030842768728632806,-0.0074417682621581716,-0.007376358627091447,0.01264498597313955,0.031937292962478776,-0.03845137174890874,-0.22124983308161508,0.1896961360149176,-0.013498730323970235,0.06696167473338527,-0.02458826157637249,0.06610101003014088,-0.0873929563308949,0.03790275258145134,0.10551467637159685,-0.10575008566351801,0.07894074944813788,0.0054541872960043895,0.019487436400974598,-0.0444944428266343,0.012593094167542316
"Fabrication de machines et de matériel, n.c.a. ",,,,,-0.006698361733905431,0.015558329327118649,0.004333377148302351,-0.006910061520426058,0.01881888475185587,-0.0020881016408229964,0.00036674344878477166,0.011054536331104125,0.012371025020406944,-0.01937732050579741,-0.006064085048675299,-0.0032404723620357836,0.03521350661050064,-0.02977121510781333,-0.0003791693927356713,0.01618597116595944,-0.007209954230714888,0.006904363205337177,-0.000604612431951156,-0.011707954050644514,-0.0008186533564929777,-0.11380290040900408,0.1314343193811938,0.006900397643382961,-0.013492178321065664,0.00159532793382322,0.0049007651123039704,-0.01849223950282842,0.02339107941584008,-0.015816769634414314,-0.005772934223404325,0.01305987682247211,-0.0009152171597214253,-0.012478308959073094,0.001774726537367975,0.011755301463854052
Fabrication de matériel de transport,,,,,0.0476808275042061,0.09489652696934327,0.09358824892703123,-0.04152287522491163,0.03281349815580772,0.0110171176064775,0.16813250136699884,-0.11001891139779506,0.05696463670803671,0.025431701900871198,-0.005223713100824201,0.06557099260357295,0.06914143782994085,-0.016637452487052663,0.048279900142693205,0.017752664549987755,0.15199680885561478,-0.02116737999331744,-0.022279246386083043,-0.02658998158090556,-0.03963198497296436,-0.612858682936199,0.765150251683492,-0.13413172031362594,0.3653260779705557,-0.008811937982029703,0.005806193420266914,0.008776676918054137,-0.02453211210061565,0.1899100569719025,0.059653462321119594,-0.03464941594242238,0.18785036403117522,-0.24579100276385898,0.14885131571448193,0.3310197329722496
"Autres activités de fabrication (y.c fabrication de meubles),  réparation et installation",,,,,0.07499011229112856,0.05651256058242567,0.010334500568062472,-0.024609662175196136,0.011521514979013847,-0.11642673610598309,0.05193077100334053,0.035302718874652333,-0.043818893990310304,0.06333517609102249,-0.05110049960007284,0.009367089603862075,0.11501743873738401,-0.17867618958981482,0.08166157952092758,-0.012257290448529303,0.02847157248712114,0.03407830179218724,-0.03228098290212501,-0.037519616591502464,-0.021151475630069333,-0.28020843038778137,0.27994695253055724,-0.02523955292017163,-0.025814334943673616,-0.015593914756912042,0.0007419183624408961,0.12030557900441867,-0.10394874243856134,0.05733619305437006,-0.0017805958718739173,-0.004488697860716742,-0.014710988987178564,0.0651525130692904,0.012086257127910548,-0.025662824395403006
"Distribution d’électricité et de gaz- Distribution d’eau, réseau d’assainissement, traitement des déchets ",,,,,0.11213992398797716,0.016300878704126654,0.028376162299619784,-0.012714756486194717,0.0004262136696311049,-0.0520202738013045,0.23225143643027002,-0.11399207976945945,-0.022834844729528462,0.07757420703527072,0.014979059261945473,0.12444639164500687,0.07275036091124236,-0.04933170677158129,0.1273897937527523,0.19726530680392698,0.31240904561070754,-0.042441013590941636,-0.05167613358153206,-0.021579821074858827,0.07631090888272812,-0.3322139645860878,0.4726960189325637,-0.06363071388348775,0.08600934947202574,0.08921368832433174,0.05762383834777717,0.049452236585597616,-0.22025927593007866,0.015652113000676107,-0.008559953384211458,-0.05450536477749378,-0.21561135732025055,0.10469718821590675,0.004913056921833044,-0.024426505234473383
