trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T2-2019;Professionnel;prix;-1.5;-1.4;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Résidentiel;prix;-0.4;-0.3;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Villa;prix;0.2;-1.5;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Appartement;transactions;-2.6;-4.1;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Bureau;transactions;-5.9;18.1;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Foncier;transactions;-19.3;-20.1;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Global;transactions;-7.3;-8.0;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Local commercial;transactions;-16.6;-14.7;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Maison;transactions;-11.6;-5.4;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Professionnel;transactions;-15.0;-10.5;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Résidentiel;transactions;-3.0;-4.4;haute;DERI-IPAI T2 2019 VF.pdf
T2-2019;Villa;transactions;2.4;-11.0;haute;DERI-IPAI T2 2019 VF.pdf
T3-2019;Appartement;prix;1.0;0.8;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Bureau;prix;1.9;12.0;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Global;prix;0.9;0.9;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Résidentiel;prix;0.9;0.4;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Appartement;transactions;3.9;-0.5;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Bureau;transactions;-25.8;-11.0;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Global;transactions;6.0;-0.8;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Local commercial;transactions;6.1;-1.2;haute;DERI-IPAI T3 2019vf.pdf
T3-2019;Résidentiel;transactions;3.7;-0.8;haute;DERI-IPAI T3 2019vf.pdf
T4-2019;Appartement;prix;-0.4;-0.5;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Bureau;prix;-6.3;-2.8;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Foncier;prix;-0.8;-0.9;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Maison;prix;-0.4;-1.4;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Résidentiel;prix;-0.4;-0.6;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Villa;prix;-0.2;-3.5;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Appartement;transactions;-3.4;-10.2;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Foncier;transactions;0.0;-14.1;haute;DERI-IPAI T4 2019vf.pdf
T4-2019;Local commercial;transactions;14.1;-6.6;haute;DERI-IPAI T4 2019vf.pdf
