,POISSON PELAGIQUE,CEPHALOPODES,POISSON BLANC,COQUILLAGES,CRUSTACES,POISSON PELAGIQUE (2),CEPHALOPODES (2),POISSON BLANC (2),COQUILLAGES (2),CRUSTACES (2),ALGUES,ALGUES (2),MEDITERRANEE,CALA IRIS,FNIDEQ,AL HOCEIMA,JEBHA,M'DIQ,NADOR,RAS KEBDANA,SIDI H'SAINE,TANGER,ATLANTIQUE,AGADIR,AMEGRIOU,BOUJDOUR,CASABLANCA,DAKHLA,EL JADIDA,ESSAOUIRA,IMESSOUANE,IMI OUADDAR,JORF LASFAR,LAAYOUNE,LABOUIRDA,LACRAA (CAP 7),LAKRAA,LARACHE,LMHIRIZ,SAFI,SID ELGHAZI,SIDI IFNI,SOUIRIA KDIMA,TAGHAZOUT,TAN TAN,KSAR SGHIR,DAKHLA (STOCK C),LASSARGA,MOHAMMEDIA,NTIRIFT,Imoutlan,TARFAYA,ASILAH,MEHDIA,MARTIL,AGLOU,OUED LAOU,RKOUNTE,AINBIDA,CHMAALA,INOUAREN,TIFNIT,Sidi ABED,KAA ASRAS,TAFEDNA,TARGHA,Lahdida,AMTAR,BHIBEH,SALE,BELYOUNECH,TAROUMA
2013-11-01,2201221.0,1189840.0,1133580.0,2460.0,264782.0,926795.0,39835.0,64390.0,515.0,6624.0,20093.0,60270.0,30976.0,753.0,128.0,7859.0,1362.0,6403.0,10930.0,1829.0,681.0,9449.0,1027277.0,50468.0,870.0,4738.0,15381.0,201898.0,8342.0,8824.0,1312.0,175.0,15968.0,269433.0,6081.0,1734.0,844.0,19137.0,1375.0,24502.0,835.0,10762.0,1404.0,54.0,74083.0,112.0,274005.0,5282.0,2286.0,3809.0,997.0,2524.0,50.0,6600.0,124.0,57.0,402.0,8.0,44.0,238.0,14.0,146.0,2723.0,110.0,160.0,20.0,,12.0,138.0,,,
2013-12-01,2434709.0,1429093.0,1266581.0,2749.0,286440.0,1033893.0,46056.0,71982.0,567.0,7241.0,21920.0,66777.0,34134.0,863.0,139.0,8819.0,1629.0,6876.0,11965.0,2034.0,723.0,10465.0,1147524.0,55201.0,894.0,6608.0,17120.0,233913.0,8798.0,9480.0,1354.0,205.0,17593.0,296070.0,7133.0,1939.0,874.0,20297.0,1646.0,28659.0,927.0,11699.0,1525.0,59.0,79990.0,114.0,304215.0,6147.0,2942.0,4487.0,1255.0,3113.0,51.0,6943.0,128.0,58.0,402.0,8.0,44.0,248.0,17.0,158.0,2725.0,138.0,192.0,23.0,1734.0,16.0,189.0,,2.0,
2014-01-01,144816.0,112701.0,16178.0,52.0,15619.0,61444.0,3128.0,6535.0,9.0,408.0,150.0,150.0,2599.0,81.0,4.0,726.0,145.0,451.0,972.0,155.0,10.0,1337.0,69076.0,4461.0,259.0,13.0,1152.0,8972.0,427.0,291.0,3.0,16.0,448.0,20028.0,259.0,35.0,89.0,738.0,82.0,1705.0,1397.0,428.0,30.0,3.0,651.0,4.0,25262.0,314.0,145.0,102.0,122.0,,1.0,259.0,3.0,3.0,,,2.0,37.0,2.0,10.0,1.0,51.0,12.0,21.0,1.0,3.0,,,,
2014-02-01,292023.0,174491.0,208410.0,123.0,34624.0,121918.0,4765.0,12379.0,23.0,925.0,430.0,1755.0,4507.0,142.0,10.0,1160.0,245.0,837.0,1752.0,238.0,19.0,2624.0,135933.0,7759.0,57.0,2818.0,2003.0,18442.0,703.0,718.0,18.0,34.0,874.0,42970.0,541.0,303.0,38.0,1775.0,173.0,2893.0,144.0,630.0,69.0,6.0,1265.0,9.0,47147.0,457.0,397.0,163.0,134.0,315.0,1.0,393.0,7.0,,,,,23.0,52.0,22.0,1.0,49.0,24.0,7.0,,3.0,,,1.0,
2014-03-01,473748.0,272554.0,318183.0,1437.0,59636.0,188972.0,7157.0,17624.0,272.0,1647.0,943.0,3972.0,6601.0,206.0,17.0,1793.0,357.0,1220.0,2394.0,327.0,22.0,4395.0,210015.0,9348.0,376.0,108.0,2937.0,26334.0,1111.0,1165.0,41.0,64.0,1637.0,69115.0,1057.0,300.0,559.0,3306.0,392.0,4926.0,5100.0,1706.0,208.0,12.0,7722.0,13.0,64409.0,710.0,643.0,348.0,134.0,,1.0,1646.0,15.0,1.0,23.0,,10.0,35.0,7.0,36.0,1.0,151.0,44.0,15.0,6.0,5.0,,,1.0,
2014-04-01,725913.0,327547.0,438878.0,2474.0,85003.0,298011.0,8903.0,23615.0,493.0,2376.0,1063.0,4221.0,9174.0,288.0,17.0,2484.0,430.0,1753.0,3109.0,540.0,38.0,5972.0,325286.0,12704.0,108.0,7273.0,3680.0,48679.0,1392.0,1975.0,89.0,69.0,1901.0,97571.0,2109.0,579.0,163.0,5194.0,734.0,6821.0,366.0,2850.0,276.0,12.0,38635.0,16.0,79614.0,1125.0,758.0,769.0,144.0,996.0,7.0,2519.0,16.0,4.0,296.0,,,63.0,4.0,30.0,17.0,260.0,92.0,32.0,443.0,7.0,20.0,36.0,,179.0
2014-05-01,965183.0,375333.0,559345.0,3010.0,112836.0,385936.0,10371.0,29682.0,580.0,3070.0,1826.0,5730.0,12114.0,380.0,17.0,3171.0,642.0,2612.0,3820.0,857.0,38.0,7070.0,419350.0,15656.0,202.0,9455.0,4199.0,62172.0,1655.0,3674.0,170.0,75.0,2995.0,128754.0,2812.0,647.0,370.0,6198.0,1005.0,8930.0,432.0,3392.0,348.0,14.0,51708.0,20.0,98937.0,1449.0,877.0,1124.0,186.0,1826.0,18.0,2693.0,17.0,10.0,84.0,,10.0,70.0,4.0,35.0,17.0,261.0,123.0,36.0,443.0,8.0,20.0,36.0,,186.0
2014-06-01,1216607.0,728376.0,708409.0,3084.0,147129.0,491408.0,16217.0,37602.0,587.0,4026.0,3550.0,8938.0,15068.0,455.0,34.0,3886.0,795.0,3121.0,4782.0,1231.0,48.0,8006.0,538321.0,20736.0,393.0,13583.0,4912.0,71826.0,2313.0,4805.0,487.0,125.0,4383.0,141702.0,3535.0,916.0,478.0,7217.0,1142.0,11411.0,560.0,4830.0,501.0,25.0,101118.0,28.0,122061.0,2270.0,949.0,1788.0,419.0,2087.0,25.0,3136.0,40.0,23.0,92.0,4.0,28.0,91.0,8.0,66.0,17.0,397.0,162.0,40.0,443.0,10.0,77.0,60.0,,244.0
2014-07-01,1413383.0,892532.0,845537.0,3513.0,178485.0,571328.0,19497.0,44903.0,683.0,4745.0,24721.0,11060.0,17572.0,529.0,39.0,4367.0,897.0,3388.0,5696.0,1621.0,57.0,8767.0,628751.0,23373.0,417.0,16050.0,5477.0,81668.0,3781.0,5641.0,726.0,165.0,5226.0,154698.0,3892.0,1014.0,554.0,7823.0,1288.0,12999.0,641.0,10739.0,686.0,36.0,127431.0,80.0,142812.0,2542.0,990.0,1971.0,479.0,2399.0,26.0,3599.0,52.0,51.0,124.0,14.0,50.0,134.0,13.0,121.0,1.0,456.0,214.0,93.0,,20.0,130.0,,6.0,
2014-08-01,1638238.0,1047119.0,961205.0,3867.0,204219.0,673538.0,22702.0,51448.0,769.0,5361.0,6055.0,14173.0,20412.0,583.0,47.0,5304.0,959.0,3755.0,6612.0,1960.0,57.0,9576.0,739462.0,25634.0,461.0,18307.0,5947.0,90997.0,4688.0,6350.0,843.0,217.0,6125.0,182571.0,4105.0,1177.0,648.0,8706.0,1525.0,13837.0,721.0,16225.0,808.0,44.0,152790.0,115.0,171629.0,2809.0,1068.0,2127.0,532.0,3472.0,27.0,4359.0,54.0,69.0,127.0,19.0,58.0,150.0,14.0,141.0,51.0,535.0,254.0,110.0,7.0,24.0,221.0,,6.0,
2014-09-01,1930920.0,1088516.0,1074761.0,4479.0,227619.0,816268.0,23493.0,58078.0,916.0,6087.0,6221.0,14339.0,22899.0,635.0,47.0,6306.0,1028.0,4061.0,7210.0,2253.0,57.0,10452.0,888163.0,29306.0,461.0,24725.0,6555.0,109145.0,5229.0,7804.0,960.0,217.0,7629.0,226387.0,4113.0,1220.0,712.0,9328.0,1604.0,16202.0,748.0,19204.0,975.0,44.0,175497.0,116.0,209501.0,3009.0,1274.0,2127.0,532.0,7065.0,27.0,4887.0,55.0,76.0,162.0,20.0,63.0,157.0,14.0,141.0,51.0,648.0,307.0,117.0,7.0,27.0,221.0,,6.0,
2014-10-01,2119416.0,1108085.0,1150028.0,4852.0,238368.0,925031.0,23835.0,62570.0,1001.0,6435.0,6248.0,14366.0,24787.0,658.0,47.0,6762.0,1130.0,4262.0,7847.0,2624.0,57.0,10900.0,1000333.0,30505.0,461.0,27461.0,7151.0,118638.0,5344.0,8704.0,1006.0,217.0,9336.0,269219.0,4116.0,1290.0,733.0,9691.0,1825.0,18470.0,769.0,19882.0,1078.0,44.0,199659.0,117.0,230349.0,3040.0,1627.0,2127.0,532.0,9599.0,27.0,5262.0,56.0,76.0,186.0,20.0,63.0,169.0,14.0,141.0,52.0,701.0,346.0,122.0,7.0,28.0,221.0,,6.0,
2014-11-01,2377152.0,1294003.0,1260361.0,5183.0,253924.0,1055572.0,27789.0,69103.0,1065.0,6886.0,6841.0,14959.0,27739.0,772.0,81.0,7788.0,1324.0,4636.0,8705.0,2775.0,61.0,11843.0,1139518.0,32499.0,468.0,30445.0,7847.0,137731.0,5940.0,9492.0,1032.0,219.0,11475.0,310827.0,4706.0,1359.0,775.0,10462.0,2049.0,22550.0,811.0,20041.0,1113.0,46.0,221864.0,118.0,264626.0,3909.0,2107.0,3192.0,644.0,12274.0,27.0,5851.0,77.0,76.0,249.0,20.0,63.0,206.0,17.0,141.0,52.0,754.0,369.0,130.0,7.0,40.0,221.0,,6.0,3.0
2014-12-01,2601953.0,1730584.0,1401722.0,5267.0,273408.0,1153015.0,37602.0,78539.0,1074.0,7380.0,9600.0,24050.0,30970.0,835.0,93.0,8565.0,1533.0,5038.0,10102.0,3028.0,74.0,12890.0,1256267.0,35041.0,578.0,31410.0,9018.0,153519.0,6761.0,10656.0,1101.0,286.0,14790.0,346481.0,6178.0,1818.0,841.0,11832.0,2256.0,28486.0,1014.0,20184.0,1271.0,59.0,228494.0,123.0,295868.0,5958.0,2483.0,4246.0,1214.0,13137.0,29.0,6645.0,101.0,82.0,261.0,20.0,63.0,230.0,21.0,154.0,293.0,780.0,431.0,135.0,7.0,46.0,240.0,,6.0,58.0
2015-01-01,136355.0,140004.0,13643.0,37.0,15819.0,57381.0,3484.0,7144.0,5.0,372.0,473.0,1538.0,2265.0,63.0,8.0,513.0,217.0,298.0,759.0,255.0,12.0,961.0,66626.0,1900.0,54.0,29.0,1484.0,7210.0,678.0,460.0,39.0,14.0,785.0,25535.0,232.0,84.0,259.0,1218.0,127.0,1465.0,2933.0,196.0,70.0,7.0,2547.0,6.0,17337.0,,236.0,,,67.0,,508.0,14.0,,4.0,,1.0,14.0,2.0,8.0,2.0,30.0,14.0,1.0,,1.0,13.0,,1.0,
2015-02-01,269443.0,409612.0,221673.0,103.0,33239.0,112323.0,9422.0,13913.0,12.0,870.0,1933.0,7679.0,3357.0,118.0,11.0,803.0,288.0,548.0,1111.0,289.0,23.0,2197.0,135178.0,3646.0,96.0,43.0,2139.0,18242.0,1530.0,1097.0,64.0,34.0,1231.0,49575.0,1149.0,442.0,562.0,2845.0,231.0,2748.0,6708.0,352.0,133.0,13.0,3148.0,7.0,32847.0,1057.0,355.0,802.0,259.0,123.0,,734.0,20.0,7.0,5.0,1.0,3.0,45.0,2.0,17.0,17.0,58.0,29.0,24.0,443.0,4.0,20.0,8.0,,
2015-03-01,457716.0,576868.0,347664.0,1587.0,53223.0,186140.0,13427.0,20829.0,344.0,1317.0,2307.0,9534.0,5626.0,162.0,20.0,1400.0,409.0,877.0,1768.0,439.0,34.0,4011.0,218824.0,5730.0,1221.0,81.0,3208.0,40410.0,2641.0,1309.0,101.0,51.0,1900.0,65709.0,1606.0,711.0,772.0,4620.0,561.0,3515.0,8634.0,3708.0,196.0,17.0,6377.0,13.0,56711.0,1093.0,497.0,802.0,259.0,170.0,1.0,1341.0,29.0,9.0,131.0,1.0,3.0,57.0,4.0,28.0,17.0,249.0,57.0,28.0,443.0,6.0,20.0,12.0,,
2015-04-01,615098.0,624689.0,466519.0,1644.0,72863.0,237106.0,15028.0,26688.0,348.0,1812.0,2709.0,10840.0,6824.0,205.0,20.0,1595.0,472.0,1075.0,2289.0,590.0,34.0,5220.0,276956.0,7614.0,81.0,10058.0,4009.0,53552.0,2978.0,2170.0,223.0,55.0,2477.0,72149.0,2805.0,789.0,152.0,6299.0,896.0,6257.0,736.0,4863.0,588.0,17.0,7656.0,15.0,77290.0,1252.0,588.0,820.0,259.0,1981.0,10.0,1985.0,30.0,14.0,131.0,1.0,,,,,,0.0,,0.0,,,,,,
2015-05-01,930797.0,686645.0,579344.0,1704.0,98970.0,339857.0,17362.0,32265.0,352.0,2360.0,2709.0,10840.0,8490.0,233.0,20.0,1986.0,550.0,1370.0,3043.0,697.0,34.0,6567.0,386504.0,15259.0,81.0,14715.0,4654.0,79427.0,3819.0,3136.0,312.0,58.0,3059.0,90805.0,4163.0,848.0,307.0,8256.0,1211.0,11191.0,772.0,6794.0,666.0,17.0,13257.0,17.0,105955.0,1665.0,705.0,1301.0,319.0,3389.0,48.0,2526.0,30.0,23.0,131.0,1.0,,70.0,4.0,47.0,17.0,261.0,123.0,36.0,443.0,8.0,20.0,186.0,,36.0
2015-06-01,1260913.0,1089054.0,750883.0,2545.0,130450.0,471530.0,24480.0,41496.0,550.0,3182.0,2799.0,11653.0,11158.0,322.0,29.0,2621.0,648.0,1889.0,3902.0,863.0,54.0,7426.0,532969.0,20958.0,81.0,20037.0,5467.0,108051.0,3922.0,3853.0,431.0,94.0,3828.0,120206.0,5186.0,1173.0,458.0,10905.0,1580.0,16858.0,1040.0,8265.0,809.0,26.0,29545.0,18.0,146353.0,2986.0,776.0,2254.0,643.0,4546.0,65.0,3623.0,51.0,50.0,214.0,6.0,,91.0,8.0,66.0,17.0,397.0,162.0,40.0,443.0,10.0,77.0,244.0,,60.0
2015-07-01,1440583.0,1201015.0,866468.0,2802.0,148491.0,542925.0,27101.0,48171.0,601.0,3486.0,8622.0,30729.0,13585.0,403.0,32.0,3269.0,698.0,2242.0,4695.0,1188.0,66.0,8037.0,87.0,25587.0,81.0,20569.0,6093.0,109425.0,5457.0,4201.0,550.0,127.0,6830.0,149831.0,5299.0,1219.0,504.0,11587.0,1807.0,18793.0,1106.0,8609.0,893.0,31.0,31026.0,617410.0,180112.0,3035.0,853.0,2321.0,644.0,4680.0,67.0,4138.0,59.0,70.0,263.0,7.0,17.0,110.0,10.0,95.0,1387.0,406.0,173.0,43.0,1253.0,12.0,121.0,81.0,,289.0
2015-08-01,1754442.0,1377273.0,1012137.0,2814.0,176614.0,688149.0,31125.0,56907.0,602.0,3965.0,11478.0,40740.0,16190.0,456.0,36.0,4045.0,817.0,2581.0,5639.0,1481.0,76.0,8993.0,776125.0,31306.0,109.0,27175.0,7488.0,130252.0,6136.0,5846.0,841.0,165.0,9517.0,202444.0,5516.0,1607.0,576.0,12278.0,2026.0,21258.0,1218.0,10063.0,997.0,41.0,42013.0,89.0,226545.0,3343.0,940.0,2564.0,715.0,5284.0,68.0,4365.0,68.0,89.0,265.0,8.0,17.0,135.0,11.0,120.0,1672.0,425.0,204.0,51.0,1253.0,15.0,176.0,105.0,,335.0
2015-09-01,1943633.0,1393348.0,1079661.0,2819.0,193628.0,776738.0,31501.0,60539.0,603.0,4251.0,15233.0,53158.0,17433.0,498.0,36.0,4419.0,890.0,2749.0,6091.0,1607.0,76.0,9649.0,871520.0,34118.0,109.0,30124.0,8450.0,141851.0,6684.0,7727.0,932.0,165.0,12132.0,219355.0,5516.0,1715.0,604.0,12953.0,2082.0,23998.0,1227.0,10394.0,1047.0,44.0,53507.0,91.0,255312.0,3386.0,1111.0,2588.0,715.0,14338.0,69.0,4503.0,68.0,95.0,265.0,8.0,26.0,138.0,11.0,95.0,2299.0,425.0,216.0,52.0,1260.0,16.0,176.0,105.0,,335.0
2015-10-01,2229076.0,1425215.0,1183849.0,3298.0,215358.0,915648.0,32303.0,67582.0,675.0,4700.0,15630.0,54312.0,19949.0,587.0,36.0,5262.0,1171.0,3009.0,6901.0,1809.0,76.0,10408.0,1016680.0,35938.0,109.0,32465.0,9334.0,173339.0,6808.0,8728.0,987.0,178.0,13700.0,249190.0,5899.0,1754.0,646.0,14143.0,2456.0,29412.0,1250.0,10602.0,1135.0,55.0,70471.0,92.0,296157.0,3681.0,1282.0,2623.0,715.0,23162.0,69.0,4722.0,68.0,98.0,265.0,8.0,26.0,138.0,11.0,120.0,2299.0,426.0,216.0,52.0,1260.0,16.0,176.0,105.0,,335.0
2015-11-01,2471005.0,1456948.0,1296821.0,3819.0,237929.0,1021746.0,33270.0,75258.0,752.0,5192.0,18070.0,61718.0,22930.0,681.0,36.0,5996.0,1606.0,3260.0,8083.0,2062.0,76.0,11246.0,1131447.0,37784.0,109.0,32465.0,10300.0,173339.0,7564.0,9562.0,1058.0,178.0,15664.0,249190.0,5899.0,1754.0,646.0,15930.0,2456.0,35916.0,1250.0,10602.0,1198.0,58.0,70471.0,94.0,296157.0,3681.0,1422.0,2623.0,715.0,23162.0,69.0,5202.0,68.0,98.0,265.0,8.0,26.0,174.0,11.0,120.0,2539.0,442.0,256.0,58.0,1348.0,18.0,176.0,105.0,,335.0
2015-12-01,2714887.0,2107343.0,1432823.0,4307.0,261684.0,1132236.0,47290.0,83899.0,829.0,5716.0,18870.0,64319.0,26334.0,795.0,61.0,6924.0,1925.0,3601.0,9251.0,2417.0,109.0,12124.0,1262617.0,41003.0,174.0,37733.0,11622.0,215075.0,9141.0,11511.0,1123.0,243.0,16268.0,311493.0,8254.0,2073.0,735.0,17052.0,3175.0,38931.0,1521.0,11180.0,1623.0,75.0,76861.0,96.0,375781.0,7138.0,2050.0,5088.0,1472.0,30104.0,69.0,5904.0,68.0,101.0,299.0,9.0,28.0,207.0,15.0,134.0,2587.0,474.0,282.0,67.0,1348.0,27.0,266.0,120.0,1.0,382.0
2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,421373.0,414363.0,216621.0,69.0,38564.0,180205.0,9541.0,14384.0,8.0,933.0,3347.0,11606.0,3354.0,131.0,12.0,617.0,359.0,511.0,1338.0,234.0,26.0,1883.0,205126.0,5360.0,476.0,142.0,1891.0,24093.0,3449.0,2931.0,41.0,53.0,3377.0,68036.0,951.0,173.0,666.0,1793.0,360.0,2508.0,6789.0,590.0,219.0,14.0,6311.0,5.0,70021.0,235.0,660.0,304.0,121.0,93.0,,1026.0,20.0,3.0,5.0,1.0,,33.0,3.0,6.0,116.0,45.0,26.0,11.0,130.0,4.0,27.0,19.0,1.0,
2016-03-01,620846.0,582365.0,355609.0,799.0,66660.0,261158.0,13518.0,22635.0,112.0,1574.0,3701.0,13196.0,4693.0,160.0,21.0,752.0,412.0,788.0,2027.0,325.0,36.0,4113.0,298100.0,7447.0,4127.0,225.0,3189.0,39758.0,4656.0,3409.0,68.0,78.0,4218.0,87480.0,1527.0,312.0,1002.0,4296.0,664.0,5069.0,7598.0,1185.0,323.0,21.0,8292.0,10.0,104330.0,463.0,1058.0,431.0,121.0,137.0,0.0,1829.0,34.0,5.0,6.0,1.0,,38.0,5.0,12.0,123.0,58.0,41.0,14.0,130.0,5.0,29.0,29.0,1.0,
2016-04-01,881489.0,651891.0,473219.0,981.0,88655.0,360743.0,16076.0,28570.0,125.0,2074.0,4929.0,14876.0,5960.0,194.0,21.0,838.0,500.0,1063.0,2718.0,376.0,36.0,5353.0,406651.0,13492.0,225.0,12876.0,4250.0,60224.0,5862.0,3751.0,118.0,78.0,4518.0,112082.0,2763.0,1089.0,293.0,5948.0,954.0,8945.0,377.0,2023.0,375.0,21.0,12536.0,12.0,135889.0,869.0,1275.0,904.0,222.0,6351.0,41.0,2185.0,34.0,13.0,6.0,2.0,,47.0,5.0,14.0,124.0,78.0,66.0,23.0,130.0,7.0,29.0,29.0,3.0,137.0
2016-05-01,1196604.0,721689.0,604203.0,1085.0,124723.0,482563.0,18903.0,35231.0,134.0,2740.0,5430.0,16505.0,8224.0,225.0,22.0,1224.0,584.0,1779.0,3457.0,657.0,36.0,6574.0,536872.0,16605.0,225.0,19042.0,5302.0,86860.0,5956.0,4693.0,199.0,78.0,5043.0,148165.0,4271.0,1176.0,457.0,6919.0,1287.0,13398.0,467.0,6216.0,432.0,21.0,18354.0,13.0,168282.0,1218.0,1435.0,1532.0,430.0,8555.0,101.0,2522.0,34.0,16.0,6.0,2.0,,55.0,5.0,17.0,332.0,78.0,107.0,35.0,130.0,9.0,29.0,29.0,3.0,137.0
2016-06-01,1431251.0,1047009.0,757069.0,1095.0,154448.0,582986.0,24762.0,43234.0,136.0,3379.0,6112.0,19668.0,10376.0,282.0,33.0,1526.0,696.0,2286.0,4231.0,947.0,36.0,7266.0,650328.0,19787.0,472.0,23651.0,6574.0,97485.0,6229.0,6869.0,366.0,123.0,5353.0,176073.0,4998.0,1429.0,541.0,7598.0,1686.0,16219.0,597.0,8056.0,576.0,30.0,28718.0,23.0,206497.0,1947.0,1595.0,2209.0,666.0,11809.0,104.0,2924.0,73.0,32.0,11.0,7.0,,65.0,8.0,42.0,339.0,103.0,138.0,39.0,618.0,12.0,162.0,53.0,4.0,181.0
2016-07-01,1601196.0,1261523.0,860438.0,1203.0,173516.0,663465.0,28768.0,48922.0,140.0,3446.0,5868.0,18875.0,20095.0,395.0,41.0,2142.0,827.0,2528.0,4843.0,1098.0,64.0,7684.0,730608.0,20968.0,510.0,25064.0,7459.0,105128.0,6455.0,7776.0,596.0,157.0,5999.0,199879.0,5345.0,1565.0,606.0,7928.0,1909.0,18278.0,656.0,8822.0,677.0,37.0,39713.0,75.0,240547.0,2556.0,1901.0,2349.0,713.0,11960.0,105.0,3019.0,98.0,53.0,12.0,10.0,7.0,92.0,11.0,63.0,342.0,119.0,157.0,49.0,374.0,14.0,290.0,69.0,4.0,225.0
2016-08-01,1913205.0,1499329.0,1008550.0,1535.0,202818.0,809980.0,33203.0,57267.0,17614.0,3929.0,94.0,62045.0,23010.0,474.0,46.0,2696.0,1050.0,2833.0,5594.0,1305.0,72.0,8314.0,899293.0,22537.0,543.0,29966.0,9513.0,126171.0,9604.0,10193.0,848.0,219.0,11508.0,230282.0,5613.0,1745.0,706.0,8555.0,2124.0,21935.0,748.0,9345.0,1419.0,44.0,74338.0,100.0,292489.0,2794.0,2173.0,2608.0,801.0,12124.0,105.0,3250.0,110.0,72.0,13.0,13.0,7.0,113.0,15.0,83.0,2845.0,200.0,203.0,57.0,434.0,15.0,446.0,94.0,4.0,269.0
2016-09-01,2038633.0,1521769.0,1056898.0,2347.0,217981.0,867964.0,33674.0,59602.0,416.0,4158.0,22334.0,81044.0,24897.0,533.0,46.0,3017.0,1244.0,2945.0,6060.0,1486.0,72.0,8646.0,963344.0,23354.0,543.0,31165.0,10048.0,127152.0,11677.0,10603.0,923.0,219.0,13119.0,250721.0,5674.0,2142.0,786.0,8838.0,2124.0,24169.0,763.0,9915.0,1808.0,44.0,82325.0,112.0,315286.0,2864.0,2353.0,2608.0,801.0,12147.0,105.0,3444.0,111.0,76.0,132.0,13.0,7.0,116.0,15.0,83.0,2986.0,283.0,215.0,61.0,766.0,16.0,446.0,94.0,4.0,269.0
2016-10-01,2377115.0,1576032.0,1181419.0,2886.0,246004.0,1023097.0,34759.0,66780.0,505.0,4692.0,23454.0,85397.0,27176.0,590.0,47.0,3407.0,1573.0,3186.0,6617.0,1619.0,72.0,9129.0,1126205.0,25313.0,544.0,35444.0,10951.0,147480.0,12023.0,11899.0,977.0,220.0,14787.0,313957.0,5939.0,2314.0,854.0,9149.0,2700.0,28688.0,844.0,12676.0,1918.0,44.0,90117.0,113.0,365209.0,3045.0,2800.0,2648.0,816.0,13475.0,105.0,3525.0,112.0,78.0,171.0,14.0,7.0,128.0,15.0,83.0,3041.0,312.0,232.0,64.0,766.0,17.0,446.0,94.0,4.0,269.0
2016-11-01,2655133.0,1655874.0,1293033.0,3073.0,266265.0,1149534.0,36456.0,73335.0,516.0,5095.0,24300.0,88340.0,29571.0,644.0,50.0,3986.0,1948.0,3357.0,7287.0,1678.0,72.0,9571.0,1259760.0,27464.0,545.0,38885.0,11734.0,161473.0,13130.0,12899.0,1028.0,220.0,16423.0,371835.0,6533.0,2499.0,1013.0,9640.0,3148.0,31618.0,931.0,12904.0,1961.0,44.0,92014.0,115.0,405476.0,3316.0,3006.0,2774.0,893.0,16721.0,105.0,3715.0,112.0,81.0,171.0,16.0,7.0,145.0,15.0,83.0,3059.0,325.0,256.0,70.0,766.0,20.0,446.0,94.0,4.0,272.0
2016-12-01,2830902.0,2214955.0,1417071.0,3220.0,287134.0,1225914.0,45859.0,80048.0,522.0,5486.0,25291.0,91605.0,32464.0,730.0,78.0,4576.0,2165.0,3627.0,8079.0,1813.0,97.0,10084.0,1350751.0,29307.0,617.0,41774.0,12945.0,169934.0,15047.0,13688.0,1065.0,235.0,17618.0,403594.0,7647.0,2675.0,1081.0,10196.0,3516.0,35462.0,1010.0,13247.0,2030.0,46.0,92980.0,117.0,432790.0,4883.0,3188.0,4304.0,1256.0,17772.0,105.0,4507.0,159.0,83.0,228.0,17.0,7.0,197.0,24.0,83.0,3286.0,367.0,283.0,85.0,766.0,34.0,524.0,107.0,4.0,329.0
2017-01-01,171394.0,453286.0,123654.0,1024.0,17233.0,69123.0,8637.0,6915.0,212.0,375.0,345.0,1304.0,2647.0,67.0,14.0,364.0,129.0,325.0,771.0,82.0,26.0,663.0,82972.0,2072.0,70.0,2832.0,693.0,5933.0,1670.0,678.0,19.0,17.0,535.0,27519.0,1551.0,206.0,33.0,2769.0,456.0,1102.0,88.0,243.0,127.0,3.0,798.0,7.0,30321.0,1273.0,129.0,763.0,304.0,234.0,1.0,339.0,21.0,1.0,106.0,3.0,0.0,15.0,6.0,5.0,28.0,39.0,20.0,8.0,0.0,3.0,59.0,10.0,1.0,56.0
2017-02-01,331158.0,694280.0,241930.0,2779.0,36769.0,139732.0,13031.0,13798.0,539.0,794.0,470.0,1999.0,4892.0,122.0,19.0,593.0,204.0,646.0,1346.0,143.0,40.0,1347.0,163495.0,4725.0,105.0,6488.0,1176.0,15049.0,1840.0,928.0,41.0,36.0,676.0,57261.0,2162.0,410.0,58.0,4058.0,557.0,1531.0,164.0,571.0,194.0,5.0,1593.0,13.0,58679.0,1703.0,215.0,954.0,435.0,526.0,1.0,956.0,32.0,1.0,210.0,4.0,0.0,29.0,10.0,8.0,36.0,113.0,40.0,21.0,0.0,4.0,70.0,21.0,1.0,112.0
2017-03-01,491887.0,945166.0,352306.0,2428.0,59072.0,207550.0,17537.0,19806.0,521.0,1585.0,957.0,3825.0,7641.0,151.0,28.0,825.0,282.0,985.0,1848.0,226.0,57.0,2559.0,240351.0,6573.0,128.0,7692.0,1834.0,23608.0,2535.0,1216.0,67.0,59.0,1595.0,79366.0,2791.0,897.0,129.0,4790.0,647.0,3286.0,373.0,1588.0,261.0,9.0,7327.0,22.0,86803.0,1929.0,308.0,1139.0,482.0,727.0,1.0,1339.0,47.0,3.0,312.0,4.0,0.0,42.0,17.0,12.0,41.0,188.0,65.0,43.0,220.0,5.0,75.0,25.0,1.0,168.0
2017-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
