equation,type,predicteur,retard,coefficient
Industrie d'extraction,A_l,Finances et assurances,4,-6.58221412693737e-5
Industrie d'extraction,A_l,Hébergement-restauration,4,-1.1365667808245479e-5
Industrie d'extraction,A_l,Pêche,4,-1.6013555358824202e-5
Industrie d'extraction,A_l,Industrie d'extraction,4,-3.867401991188399e-6
Industrie d'extraction,A_l,Construction,4,-3.150943252638208e-5
Industrie d'extraction,A_l,Information-communication,4,-9.407185198365793e-5
Industrie d'extraction,A_l,Immobilier,4,-1.5600210441923498e-4
Industrie d'extraction,A_l,Agriculture,4,-1.0670289545606637e-6
Industrie d'extraction,A_l,Commerce,4,-1.7733562422834353e-5
Industrie d'extraction,A_l,Transports,4,-1.332306470562562e-5
Industrie d'extraction,A_l,"Électricité, gaz, eau",4,-1.3049837338929449e-6
Industrie d'extraction,A_l,Services aux entreprises,4,-1.4987600688753191e-5
Industrie d'extraction,A_l,Administration publique,4,1.4786045214259502e-5
Industrie d'extraction,A_l,Éducation-santé,4,-1.5939308091270847e-4
Industrie d'extraction,A_l,Autres services,4,-1.949793332178869e-4
Industrie d'extraction,A_l,Industrie de transformation,5,-1.094598661123626e-5
Industrie d'extraction,A_l,Finances et assurances,5,2.813207558373092e-5
Industrie d'extraction,A_l,Hébergement-restauration,5,-1.1681711373436996e-8
Industrie d'extraction,A_l,Pêche,5,1.0754946717570499e-5
Industrie d'extraction,A_l,Industrie d'extraction,5,-3.6285650086172164e-6
Industrie d'extraction,A_l,Construction,5,-1.0921259401548179e-5
Industrie d'extraction,A_l,Information-communication,5,2.7569811888644235e-5
Industrie d'extraction,A_l,Immobilier,5,-2.253467172807982e-5
Industrie d'extraction,A_l,Agriculture,5,-2.1414071419171902e-5
Industrie d'extraction,A_l,Commerce,5,-1.939803358705193e-5
Industrie d'extraction,A_l,Transports,5,-3.7662650200603253e-6
Industrie d'extraction,A_l,"Électricité, gaz, eau",5,-1.4965379874437685e-5
Industrie d'extraction,A_l,Services aux entreprises,5,2.6611572549277334e-6
Industrie d'extraction,A_l,Administration publique,5,4.109329932378566e-5
Industrie d'extraction,A_l,Éducation-santé,5,2.1713850081479554e-6
Industrie d'extraction,A_l,Autres services,5,-2.7270713919180576e-5
Construction,constante,NA,0,0.004047682864983204
Construction,A_l,Industrie de transformation,1,6.782107728162252e-4
Construction,A_l,Finances et assurances,1,0.0014576105853533422
Construction,A_l,Hébergement-restauration,1,2.226999419098374e-4
Construction,A_l,Pêche,1,1.3120884606311721e-5
Construction,A_l,Industrie d'extraction,1,1.0034368816328939e-4
Construction,A_l,Construction,1,3.479867395958611e-5
Construction,A_l,Information-communication,1,-7.672855138418855e-4
Construction,A_l,Immobilier,1,0.0014358439038733297
Construction,A_l,Agriculture,1,1.306217732175392e-4
Construction,A_l,Commerce,1,7.363344527440217e-4
Construction,A_l,Transports,1,6.490198034956862e-5
Construction,A_l,"Électricité, gaz, eau",1,4.7878919762880533e-4
Construction,A_l,Services aux entreprises,1,9.041836269050023e-4
Construction,A_l,Administration publique,1,3.955218414630658e-4
Construction,A_l,Éducation-santé,1,0.001186144712085354
Construction,A_l,Autres services,1,0.0063080094395820685
